
  ZVR, 3.52

  stimulus-start        ; stimulus-stop       ; stimulus-unit       ; nof-points; parameter-type; impedance-ohm
  1.50000000000E+09     ; 4.00000000000E+09   ; Hz                  ; 801       ; S21           ; 50        

  conversion            ; time-domain         ; data-format         ; param-unit; smoothing     ; trace-math
  S                     ; domain=TIME gate=OFF; MAGNITUDE           ; dB        ; 1%            ; none

  time-domain           ; time-domain-start   ; time-domain-stop    ; td-unit   ; nof-points
  TIME                  ; 0.00000000000E+00   ; 5.00000000000E-08   ; s         ; 801 

  transformation-type   ; period              ; dielectric-epsilon  ; x-axis    
  CHIRP IMPULSE BANDPASS; 3.20000000000E-07s  ; none                ; time      

  sweep-mode-type       ; notlinear-meas-mode 
  FUNDAMENTAL           ; none                


  time              ;  S21          
   0.00000000000E+00; -92.2801      
   6.25000000000E-11; -92.8379      
   1.25000000000E-10; -93.3354      
   1.87500000000E-10; -93.7671      
   2.50000000000E-10; -94.1299      
   3.12500000000E-10; -95.2182      
   3.75000000000E-10; -96.0988      
   4.37500000000E-10; -96.8133      
   5.00000000000E-10; -97.4466      
   5.62500000000E-10; -98.1077      
   6.25000000000E-10; -98.9223      
   6.87500000000E-10; -100.044      
   7.50000000000E-10; -101.082      
   8.12500000000E-10; -101.654      
   8.75000000000E-10; -101.634      
   9.37500000000E-10; -100.966      
   1.00000000000E-09; -99.7048      
   1.06250000000E-09; -98.0017      
   1.12500000000E-09; -96.0466      
   1.18750000000E-09; -94.0078      
   1.25000000000E-09; -92.009       
   1.31250000000E-09; -90.2978      
   1.37500000000E-09; -88.9153      
   1.43750000000E-09; -87.8069      
   1.50000000000E-09; -86.9366      
   1.56250000000E-09; -86.2789      
   1.62500000000E-09; -85.8121      
   1.68750000000E-09; -85.5146      
   1.75000000000E-09; -85.362       
   1.81250000000E-09; -85.3279      
   1.87500000000E-09; -85.3859      
   1.93750000000E-09; -85.5137      
   2.00000000000E-09; -85.6958      
   2.06250000000E-09; -85.9249      
   2.12500000000E-09; -86.2015      
   2.18750000000E-09; -86.5314      
   2.25000000000E-09; -86.9218      
   2.31250000000E-09; -87.3773      
   2.37500000000E-09; -87.8971      
   2.43750000000E-09; -88.4775      
   2.50000000000E-09; -89.1173      
   2.56250000000E-09; -89.8188      
   2.62500000000E-09; -90.5819      
   2.68750000000E-09; -91.3976      
   2.75000000000E-09; -92.2501      
   2.81250000000E-09; -93.1372      
   2.87500000000E-09; -94.0998      
   2.93750000000E-09; -95.1964      
   3.00000000000E-09; -96.2539      
   3.06250000000E-09; -96.9456      
   3.12500000000E-09; -97.1461      
   3.18750000000E-09; -96.9695      
   3.25000000000E-09; -96.7258      
   3.31250000000E-09; -96.7315      
   3.37500000000E-09; -96.536       
   3.43750000000E-09; -95.0235      
   3.50000000000E-09; -92.4992      
   3.56250000000E-09; -89.9091      
   3.62500000000E-09; -87.8667      
   3.68750000000E-09; -86.6495      
   3.75000000000E-09; -86.1329      
   3.81250000000E-09; -84.2463      
   3.87500000000E-09; -80.5693      
   3.93750000000E-09; -76.2306      
   4.00000000000E-09; -72.0412      
   4.06250000000E-09; -68.2184      
   4.12500000000E-09; -64.7857      
   4.18750000000E-09; -61.7141      
   4.25000000000E-09; -58.965       
   4.31250000000E-09; -56.5167      
   4.37500000000E-09; -54.4023      
   4.43750000000E-09; -52.6058      
   4.50000000000E-09; -51.0979      
   4.56250000000E-09; -49.8556      
   4.62500000000E-09; -48.8611      
   4.68750000000E-09; -48.101       
   4.75000000000E-09; -47.565       
   4.81250000000E-09; -47.2452      
   4.87500000000E-09; -47.1356      
   4.93750000000E-09; -47.2311      
   5.00000000000E-09; -47.5272      
   5.06250000000E-09; -48.0117      
   5.12500000000E-09; -48.6968      
   5.18750000000E-09; -49.564       
   5.25000000000E-09; -50.6007      
   5.31250000000E-09; -51.7875      
   5.37500000000E-09; -53.0964      
   5.43750000000E-09; -54.4886      
   5.50000000000E-09; -55.9128      
   5.56250000000E-09; -57.307       
   5.62500000000E-09; -58.6044      
   5.68750000000E-09; -59.7471      
   5.75000000000E-09; -60.7027      
   5.81250000000E-09; -61.4762      
   5.87500000000E-09; -62.1084      
   5.93750000000E-09; -62.662       
   6.00000000000E-09; -63.2041      
   6.06250000000E-09; -63.7953      
   6.12500000000E-09; -64.487       
   6.18750000000E-09; -65.3237      
   6.25000000000E-09; -66.3417      
   6.31250000000E-09; -67.5511      
   6.37500000000E-09; -68.8745      
   6.43750000000E-09; -70.1379      
   6.50000000000E-09; -71.1615      
   6.56250000000E-09; -71.8         
   6.62500000000E-09; -71.9767      
   6.68750000000E-09; -71.708       
   6.75000000000E-09; -71.0855      
   6.81250000000E-09; -70.2347      
   6.87500000000E-09; -69.2955      
   6.93750000000E-09; -68.4304      
   7.00000000000E-09; -67.7567      
   7.06250000000E-09; -67.2875      
   7.12500000000E-09; -66.993       
   7.18750000000E-09; -66.8362      
   7.25000000000E-09; -66.7803      
   7.31250000000E-09; -66.79        
   7.37500000000E-09; -66.8315      
   7.43750000000E-09; -66.876       
   7.50000000000E-09; -66.9047      
   7.56250000000E-09; -66.9129      
   7.62500000000E-09; -66.9107      
   7.68750000000E-09; -66.92        
   7.75000000000E-09; -66.9697      
   7.81250000000E-09; -67.0933      
   7.87500000000E-09; -67.3272      
   7.93750000000E-09; -67.71        
   8.00000000000E-09; -68.2759      
   8.06250000000E-09; -69.0303      
   8.12500000000E-09; -69.9038      
   8.18750000000E-09; -70.7694      
   8.25000000000E-09; -71.5183      
   8.31250000000E-09; -72.0664      
   8.37500000000E-09; -72.3492      
   8.43750000000E-09; -72.3306      
   8.50000000000E-09; -72.014       
   8.56250000000E-09; -71.4495      
   8.62500000000E-09; -70.7386      
   8.68750000000E-09; -70.028       
   8.75000000000E-09; -69.4219      
   8.81250000000E-09; -68.9229      
   8.87500000000E-09; -68.4857      
   8.93750000000E-09; -68.0597      
   9.00000000000E-09; -67.6034      
   9.06250000000E-09; -67.0911      
   9.12500000000E-09; -66.5145      
   9.18750000000E-09; -65.8818      
   9.25000000000E-09; -65.2133      
   9.31250000000E-09; -64.5347      
   9.37500000000E-09; -63.8708      
   9.43750000000E-09; -63.2417      
   9.50000000000E-09; -62.6619      
   9.56250000000E-09; -62.1415      
   9.62500000000E-09; -61.688       
   9.68750000000E-09; -61.3072      
   9.75000000000E-09; -61.0042      
   9.81250000000E-09; -60.7829      
   9.87500000000E-09; -60.6462      
   9.93750000000E-09; -60.5952      
   1.00000000000E-08; -60.6285      
   1.00625000000E-08; -60.7421      
   1.01250000000E-08; -60.9292      
   1.01875000000E-08; -61.1797      
   1.02500000000E-08; -61.4816      
   1.03125000000E-08; -61.8213      
   1.03750000000E-08; -62.1855      
   1.04375000000E-08; -62.5624      
   1.05000000000E-08; -62.9433      
   1.05625000000E-08; -63.3235      
   1.06250000000E-08; -63.7036      
   1.06875000000E-08; -64.0895      
   1.07500000000E-08; -64.4923      
   1.08125000000E-08; -64.9275      
   1.08750000000E-08; -65.4136      
   1.09375000000E-08; -65.9714      
   1.10000000000E-08; -66.6234      
   1.10625000000E-08; -67.3925      
   1.11250000000E-08; -68.2999      
   1.11875000000E-08; -69.3561      
   1.12500000000E-08; -70.5384      
   1.13125000000E-08; -71.7682      
   1.13750000000E-08; -72.9374      
   1.14375000000E-08; -73.9456      
   1.15000000000E-08; -74.7127      
   1.15625000000E-08; -75.1899      
   1.16250000000E-08; -75.373       
   1.16875000000E-08; -74.8567      
   1.17500000000E-08; -74.596       
   1.18125000000E-08; -74.3559      
   1.18750000000E-08; -74.2781      
   1.19375000000E-08; -74.4432      
   1.20000000000E-08; -74.8726      
   1.20625000000E-08; -75.5689      
   1.21250000000E-08; -76.5455      
   1.21875000000E-08; -77.8296      
   1.22500000000E-08; -79.2974      
   1.23125000000E-08; -80.4885      
   1.23750000000E-08; -80.9599      
   1.24375000000E-08; -80.4555      
   1.25000000000E-08; -79.0824      
   1.25625000000E-08; -77.197       
   1.26250000000E-08; -75.1409      
   1.26875000000E-08; -73.1241      
   1.27500000000E-08; -71.2552      
   1.28125000000E-08; -69.6389      
   1.28750000000E-08; -68.3696      
   1.29375000000E-08; -67.4427      
   1.30000000000E-08; -66.8425      
   1.30625000000E-08; -66.5612      
   1.31250000000E-08; -66.5974      
   1.31875000000E-08; -66.945       
   1.32500000000E-08; -67.5533      
   1.33125000000E-08; -68.2705      
   1.33750000000E-08; -68.9089      
   1.34375000000E-08; -69.3199      
   1.35000000000E-08; -69.3965      
   1.35625000000E-08; -69.0878      
   1.36250000000E-08; -68.4131      
   1.36875000000E-08; -67.4533      
   1.37500000000E-08; -66.3284      
   1.38125000000E-08; -65.184       
   1.38750000000E-08; -64.1713      
   1.39375000000E-08; -63.3663      
   1.40000000000E-08; -62.7708      
   1.40625000000E-08; -62.3654      
   1.41250000000E-08; -62.1295      
   1.41875000000E-08; -62.0453      
   1.42500000000E-08; -62.0984      
   1.43125000000E-08; -62.2769      
   1.43750000000E-08; -62.5707      
   1.44375000000E-08; -62.9715      
   1.45000000000E-08; -63.4721      
   1.45625000000E-08; -64.0673      
   1.46250000000E-08; -64.7549      
   1.46875000000E-08; -65.5359      
   1.47500000000E-08; -66.4165      
   1.48125000000E-08; -67.4085      
   1.48750000000E-08; -68.5288      
   1.49375000000E-08; -69.7926      
   1.50000000000E-08; -71.1873      
   1.50625000000E-08; -72.6264      
   1.51250000000E-08; -73.9734      
   1.51875000000E-08; -75.0956      
   1.52500000000E-08; -75.8773      
   1.53125000000E-08; -76.2424      
   1.53750000000E-08; -76.1827      
   1.54375000000E-08; -75.7659      
   1.55000000000E-08; -75.118       
   1.55625000000E-08; -74.405       
   1.56250000000E-08; -73.802       
   1.56875000000E-08; -73.3902      
   1.57500000000E-08; -73.1356      
   1.58125000000E-08; -72.9513      
   1.58750000000E-08; -72.744       
   1.59375000000E-08; -72.4423      
   1.60000000000E-08; -72.0095      
   1.60625000000E-08; -71.4442      
   1.61250000000E-08; -70.7742      
   1.61875000000E-08; -70.0475      
   1.62500000000E-08; -69.324       
   1.63125000000E-08; -68.6677      
   1.63750000000E-08; -68.1371      
   1.64375000000E-08; -67.7745      
   1.65000000000E-08; -67.6039      
   1.65625000000E-08; -67.6351      
   1.66250000000E-08; -67.869       
   1.66875000000E-08; -68.3006      
   1.67500000000E-08; -68.9167      
   1.68125000000E-08; -69.6913      
   1.68750000000E-08; -70.5782      
   1.69375000000E-08; -71.5075      
   1.70000000000E-08; -72.3912      
   1.70625000000E-08; -73.1355      
   1.71250000000E-08; -73.6574      
   1.71875000000E-08; -73.9059      
   1.72500000000E-08; -73.8791      
   1.73125000000E-08; -73.6277      
   1.73750000000E-08; -73.2407      
   1.74375000000E-08; -72.8212      
   1.75000000000E-08; -72.4611      
   1.75625000000E-08; -72.2235      
   1.76250000000E-08; -72.1415      
   1.76875000000E-08; -72.2215      
   1.77500000000E-08; -72.4426      
   1.78125000000E-08; -72.7504      
   1.78750000000E-08; -73.0615      
   1.79375000000E-08; -73.287       
   1.80000000000E-08; -73.3565      
   1.80625000000E-08; -73.2323      
   1.81250000000E-08; -72.9146      
   1.81875000000E-08; -72.4382      
   1.82500000000E-08; -71.865       
   1.83125000000E-08; -71.2743      
   1.83750000000E-08; -70.7523      
   1.84375000000E-08; -70.3776      
   1.85000000000E-08; -70.2072      
   1.85625000000E-08; -70.2768      
   1.86250000000E-08; -70.6092      
   1.86875000000E-08; -71.2184      
   1.87500000000E-08; -72.0909      
   1.88125000000E-08; -73.1333      
   1.88750000000E-08; -74.1844      
   1.89375000000E-08; -75.0935      
   1.90000000000E-08; -75.7264      
   1.90625000000E-08; -75.9767      
   1.91250000000E-08; -75.7979      
   1.91875000000E-08; -75.2239      
   1.92500000000E-08; -74.3592      
   1.93125000000E-08; -73.3587      
   1.93750000000E-08; -72.4072      
   1.94375000000E-08; -71.6277      
   1.95000000000E-08; -71.0347      
   1.95625000000E-08; -70.6019      
   1.96250000000E-08; -70.2972      
   1.96875000000E-08; -70.0919      
   1.97500000000E-08; -69.9619      
   1.98125000000E-08; -69.8885      
   1.98750000000E-08; -69.8587      
   1.99375000000E-08; -69.8646      
   2.00000000000E-08; -69.9032      
   2.00625000000E-08; -69.9751      
   2.01250000000E-08; -70.0828      
   2.01875000000E-08; -70.23        
   2.02500000000E-08; -70.4197      
   2.03125000000E-08; -70.6535      
   2.03750000000E-08; -70.9318      
   2.04375000000E-08; -71.2535      
   2.05000000000E-08; -71.6167      
   2.05625000000E-08; -72.0194      
   2.06250000000E-08; -72.4589      
   2.06875000000E-08; -72.9313      
   2.07500000000E-08; -73.4301      
   2.08125000000E-08; -73.9445      
   2.08750000000E-08; -74.4592      
   2.09375000000E-08; -74.9548      
   2.10000000000E-08; -75.4105      
   2.10625000000E-08; -75.8054      
   2.11250000000E-08; -76.1177      
   2.11875000000E-08; -76.325       
   2.12500000000E-08; -76.4058      
   2.13125000000E-08; -76.3466      
   2.13750000000E-08; -76.151       
   2.14375000000E-08; -75.8437      
   2.15000000000E-08; -75.4669      
   2.15625000000E-08; -75.07        
   2.16250000000E-08; -74.7026      
   2.16875000000E-08; -74.4109      
   2.17500000000E-08; -74.2388      
   2.18125000000E-08; -74.2298      
   2.18750000000E-08; -74.4268      
   2.19375000000E-08; -74.8679      
   2.20000000000E-08; -75.5638      
   2.20625000000E-08; -76.4332      
   2.21250000000E-08; -77.3082      
   2.21875000000E-08; -78.0475      
   2.22500000000E-08; -78.5421      
   2.23125000000E-08; -78.7093      
   2.23750000000E-08; -78.5112      
   2.24375000000E-08; -77.9699      
   2.25000000000E-08; -77.1659      
   2.25625000000E-08; -76.231       
   2.26250000000E-08; -75.3484      
   2.26875000000E-08; -74.6636      
   2.27500000000E-08; -74.2011      
   2.28125000000E-08; -73.9358      
   2.28750000000E-08; -73.8352      
   2.29375000000E-08; -73.8693      
   2.30000000000E-08; -74.0115      
   2.30625000000E-08; -74.2387      
   2.31250000000E-08; -74.5303      
   2.31875000000E-08; -74.8674      
   2.32500000000E-08; -75.2321      
   2.33125000000E-08; -75.6059      
   2.33750000000E-08; -75.9698      
   2.34375000000E-08; -76.303       
   2.35000000000E-08; -76.5847      
   2.35625000000E-08; -76.7949      
   2.36250000000E-08; -76.9178      
   2.36875000000E-08; -76.944       
   2.37500000000E-08; -76.873       
   2.38125000000E-08; -76.7136      
   2.38750000000E-08; -76.4827      
   2.39375000000E-08; -76.2025      
   2.40000000000E-08; -75.8968      
   2.40625000000E-08; -75.5882      
   2.41250000000E-08; -75.2949      
   2.41875000000E-08; -75.0294      
   2.42500000000E-08; -74.7978      
   2.43125000000E-08; -74.5993      
   2.43750000000E-08; -74.4267      
   2.44375000000E-08; -74.2673      
   2.45000000000E-08; -74.1041      
   2.45625000000E-08; -73.9183      
   2.46250000000E-08; -73.6932      
   2.46875000000E-08; -73.4178      
   2.47500000000E-08; -73.091       
   2.48125000000E-08; -72.7221      
   2.48750000000E-08; -72.3307      
   2.49375000000E-08; -71.9433      
   2.50000000000E-08; -71.5901      
   2.50625000000E-08; -71.3019      
   2.51250000000E-08; -71.1074      
   2.51875000000E-08; -71.0315      
   2.52500000000E-08; -71.0934      
   2.53125000000E-08; -71.3036      
   2.53750000000E-08; -71.6593      
   2.54375000000E-08; -72.1386      
   2.55000000000E-08; -72.6963      
   2.55625000000E-08; -73.269       
   2.56250000000E-08; -73.7867      
   2.56875000000E-08; -74.1835      
   2.57500000000E-08; -74.4068      
   2.58125000000E-08; -74.4266      
   2.58750000000E-08; -74.2439      
   2.59375000000E-08; -73.893       
   2.60000000000E-08; -73.4341      
   2.60625000000E-08; -72.9366      
   2.61250000000E-08; -72.4581      
   2.61875000000E-08; -72.0332      
   2.62500000000E-08; -71.6774      
   2.63125000000E-08; -71.3969      
   2.63750000000E-08; -71.1963      
   2.64375000000E-08; -71.0837      
   2.65000000000E-08; -71.0715      
   2.65625000000E-08; -71.1772      
   2.66250000000E-08; -71.4222      
   2.66875000000E-08; -71.8303      
   2.67500000000E-08; -72.4243      
   2.68125000000E-08; -73.216       
   2.68750000000E-08; -74.1847      
   2.69375000000E-08; -75.2581      
   2.70000000000E-08; -76.3464      
   2.70625000000E-08; -77.3814      
   2.71250000000E-08; -78.3185      
   2.71875000000E-08; -79.1348      
   2.72500000000E-08; -79.829       
   2.73125000000E-08; -80.4133      
   2.73750000000E-08; -80.8677      
   2.74375000000E-08; -81.0622      
   2.75000000000E-08; -80.9132      
   2.75625000000E-08; -80.4612      
   2.76250000000E-08; -79.7439      
   2.76875000000E-08; -78.7899      
   2.77500000000E-08; -77.6378      
   2.78125000000E-08; -76.341       
   2.78750000000E-08; -74.9661      
   2.79375000000E-08; -73.602       
   2.80000000000E-08; -72.3676      
   2.80625000000E-08; -71.3281      
   2.81250000000E-08; -70.4693      
   2.81875000000E-08; -69.7541      
   2.82500000000E-08; -69.1459      
   2.83125000000E-08; -68.6143      
   2.83750000000E-08; -68.1373      
   2.84375000000E-08; -67.7027      
   2.85000000000E-08; -67.3071      
   2.85625000000E-08; -66.956       
   2.86250000000E-08; -66.6611      
   2.86875000000E-08; -66.4391      
   2.87500000000E-08; -66.3091      
   2.88125000000E-08; -66.291       
   2.88750000000E-08; -66.4049      
   2.89375000000E-08; -66.67        
   2.90000000000E-08; -67.1051      
   2.90625000000E-08; -67.7276      
   2.91250000000E-08; -68.5541      
   2.91875000000E-08; -69.5985      
   2.92500000000E-08; -70.8673      
   2.93125000000E-08; -72.3508      
   2.93750000000E-08; -74.0168      
   2.94375000000E-08; -75.8188      
   2.95000000000E-08; -77.7019      
   2.95625000000E-08; -79.5895      
   2.96250000000E-08; -81.3717      
   2.96875000000E-08; -82.913       
   2.97500000000E-08; -84.1001      
   2.98125000000E-08; -84.9242      
   2.98750000000E-08; -85.5335      
   2.99375000000E-08; -86.1734      
   3.00000000000E-08; -87.0273      
   3.00625000000E-08; -88.0686      
   3.01250000000E-08; -89.0284      
   3.01875000000E-08; -89.6885      
   3.02500000000E-08; -89.9538      
   3.03125000000E-08; -89.8365      
   3.03750000000E-08; -89.4124      
   3.04375000000E-08; -88.7597      
   3.05000000000E-08; -87.9247      
   3.05625000000E-08; -86.9357      
   3.06250000000E-08; -85.887       
   3.06875000000E-08; -84.9178      
   3.07500000000E-08; -84.0295      
   3.08125000000E-08; -83.1832      
   3.08750000000E-08; -82.3533      
   3.09375000000E-08; -81.5324      
   3.10000000000E-08; -80.7292      
   3.10625000000E-08; -79.9679      
   3.11250000000E-08; -79.2855      
   3.11875000000E-08; -78.7258      
   3.12500000000E-08; -78.3272      
   3.13125000000E-08; -78.1146      
   3.13750000000E-08; -78.0996      
   3.14375000000E-08; -78.2857      
   3.15000000000E-08; -78.6724      
   3.15625000000E-08; -79.2586      
   3.16250000000E-08; -80.0432      
   3.16875000000E-08; -81.0254      
   3.17500000000E-08; -82.2039      
   3.18125000000E-08; -83.5735      
   3.18750000000E-08; -85.1174      
   3.19375000000E-08; -86.7907      
   3.20000000000E-08; -88.4977      
   3.20625000000E-08; -90.0728      
   3.21250000000E-08; -91.2797      
   3.21875000000E-08; -91.866       
   3.22500000000E-08; -91.6914      
   3.23125000000E-08; -90.8251      
   3.23750000000E-08; -89.4962      
   3.24375000000E-08; -87.9581      
   3.25000000000E-08; -86.4035      
   3.25625000000E-08; -84.9486      
   3.26250000000E-08; -83.6483      
   3.26875000000E-08; -82.5229      
   3.27500000000E-08; -81.5773      
   3.28125000000E-08; -80.8109      
   3.28750000000E-08; -80.2207      
   3.29375000000E-08; -79.8034      
   3.30000000000E-08; -79.5547      
   3.30625000000E-08; -79.4682      
   3.31250000000E-08; -79.5324      
   3.31875000000E-08; -79.7268      
   3.32500000000E-08; -80.0169      
   3.33125000000E-08; -80.3537      
   3.33750000000E-08; -80.6783      
   3.34375000000E-08; -80.9336      
   3.35000000000E-08; -81.0751      
   3.35625000000E-08; -81.0805      
   3.36250000000E-08; -80.9546      
   3.36875000000E-08; -80.7308      
   3.37500000000E-08; -80.4669      
   3.38125000000E-08; -80.2378      
   3.38750000000E-08; -80.1257      
   3.39375000000E-08; -80.2135      
   3.40000000000E-08; -80.5847      
   3.40625000000E-08; -81.3313      
   3.41250000000E-08; -82.4129      
   3.41875000000E-08; -83.3283      
   3.42500000000E-08; -83.8845      
   3.43125000000E-08; -83.958       
   3.43750000000E-08; -83.5128      
   3.44375000000E-08; -82.6165      
   3.45000000000E-08; -81.4034      
   3.45625000000E-08; -80.0176      
   3.46250000000E-08; -78.5796      
   3.46875000000E-08; -77.2646      
   3.47500000000E-08; -76.3471      
   3.48125000000E-08; -75.7826      
   3.48750000000E-08; -75.5216      
   3.49375000000E-08; -75.5256      
   3.50000000000E-08; -75.7608      
   3.50625000000E-08; -76.1917      
   3.51250000000E-08; -76.7758      
   3.51875000000E-08; -77.4621      
   3.52500000000E-08; -78.1908      
   3.53125000000E-08; -78.8969      
   3.53750000000E-08; -79.5153      
   3.54375000000E-08; -79.9907      
   3.55000000000E-08; -80.2899      
   3.55625000000E-08; -80.4118      
   3.56250000000E-08; -80.3875      
   3.56875000000E-08; -80.2703      
   3.57500000000E-08; -80.1177      
   3.58125000000E-08; -79.9771      
   3.58750000000E-08; -79.8799      
   3.59375000000E-08; -79.843       
   3.60000000000E-08; -79.8729      
   3.60625000000E-08; -79.9696      
   3.61250000000E-08; -80.1288      
   3.61875000000E-08; -80.3445      
   3.62500000000E-08; -80.6108      
   3.63125000000E-08; -80.9243      
   3.63750000000E-08; -81.2867      
   3.64375000000E-08; -81.7066      
   3.65000000000E-08; -82.2011      
   3.65625000000E-08; -82.7947      
   3.66250000000E-08; -83.5147      
   3.66875000000E-08; -84.3724      
   3.67500000000E-08; -85.3148      
   3.68125000000E-08; -86.1995      
   3.68750000000E-08; -86.8732      
   3.69375000000E-08; -87.2285      
   3.70000000000E-08; -87.2182      
   3.70625000000E-08; -86.8605      
   3.71250000000E-08; -86.2281      
   3.71875000000E-08; -85.4253      
   3.72500000000E-08; -84.5728      
   3.73125000000E-08; -83.8107      
   3.73750000000E-08; -83.2668      
   3.74375000000E-08; -82.9926      
   3.75000000000E-08; -82.976       
   3.75625000000E-08; -83.1678      
   3.76250000000E-08; -83.4874      
   3.76875000000E-08; -83.8348      
   3.77500000000E-08; -84.11        
   3.78125000000E-08; -84.2284      
   3.78750000000E-08; -84.132       
   3.79375000000E-08; -83.8         
   3.80000000000E-08; -83.2539      
   3.80625000000E-08; -82.5516      
   3.81250000000E-08; -81.7743      
   3.81875000000E-08; -81.0056      
   3.82500000000E-08; -80.3082      
   3.83125000000E-08; -79.7155      
