
  ZVR, 3.52

  stimulus-start        ; stimulus-stop       ; stimulus-unit       ; nof-points; parameter-type; impedance-ohm
  1.50000000000E+09     ; 4.00000000000E+09   ; Hz                  ; 801       ; S21           ; 50        

  conversion            ; time-domain         ; data-format         ; param-unit; smoothing     ; trace-math
  S                     ; domain=TIME gate=OFF; MAGNITUDE           ; dB        ; 1%            ; none

  time-domain           ; time-domain-start   ; time-domain-stop    ; td-unit   ; nof-points
  TIME                  ; 0.00000000000E+00   ; 5.00000000000E-08   ; s         ; 801 

  transformation-type   ; period              ; dielectric-epsilon  ; x-axis    
  CHIRP IMPULSE BANDPASS; 3.20000000000E-07s  ; none                ; time      

  sweep-mode-type       ; notlinear-meas-mode 
  FUNDAMENTAL           ; none                


  time              ;  S21          
   0.00000000000E+00; -90.4771      
   6.25000000000E-11; -90.6139      
   1.25000000000E-10; -90.863       
   1.87500000000E-10; -91.2042      
   2.50000000000E-10; -91.6081      
   3.12500000000E-10; -92.1464      
   3.75000000000E-10; -92.8597      
   4.37500000000E-10; -93.7125      
   5.00000000000E-10; -94.6573      
   5.62500000000E-10; -95.6522      
   6.25000000000E-10; -96.6724      
   6.87500000000E-10; -97.7263      
   7.50000000000E-10; -98.8822      
   8.12500000000E-10; -100.296      
   8.75000000000E-10; -101.198      
   9.37500000000E-10; -101.263      
   1.00000000000E-09; -100.511      
   1.06250000000E-09; -99.134       
   1.12500000000E-09; -97.3786      
   1.18750000000E-09; -95.4598      
   1.25000000000E-09; -93.5259      
   1.31250000000E-09; -91.6628      
   1.37500000000E-09; -89.9161      
   1.43750000000E-09; -88.5399      
   1.50000000000E-09; -87.5037      
   1.56250000000E-09; -86.7464      
   1.62500000000E-09; -86.2198      
   1.68750000000E-09; -85.8843      
   1.75000000000E-09; -85.7083      
   1.81250000000E-09; -85.6688      
   1.87500000000E-09; -85.7505      
   1.93750000000E-09; -85.9454      
   2.00000000000E-09; -86.2503      
   2.06250000000E-09; -86.6641      
   2.12500000000E-09; -87.1822      
   2.18750000000E-09; -87.7841      
   2.25000000000E-09; -88.4238      
   2.31250000000E-09; -89.0388      
   2.37500000000E-09; -89.5795      
   2.43750000000E-09; -90.0286      
   2.50000000000E-09; -90.41        
   2.56250000000E-09; -90.7878      
   2.62500000000E-09; -91.2556      
   2.68750000000E-09; -91.8793      
   2.75000000000E-09; -92.3898      
   2.81250000000E-09; -92.4489      
   2.87500000000E-09; -92.1399      
   2.93750000000E-09; -91.6841      
   3.00000000000E-09; -91.2645      
   3.06250000000E-09; -90.9022      
   3.12500000000E-09; -90.3339      
   3.18750000000E-09; -89.2178      
   3.25000000000E-09; -87.6476      
   3.31250000000E-09; -86.2134      
   3.37500000000E-09; -85.4653      
   3.43750000000E-09; -85.36        
   3.50000000000E-09; -83.8082      
   3.56250000000E-09; -80.3881      
   3.62500000000E-09; -76.0898      
   3.68750000000E-09; -71.7968      
   3.75000000000E-09; -67.863       
   3.81250000000E-09; -64.3461      
   3.87500000000E-09; -61.2134      
   3.93750000000E-09; -58.4187      
   4.00000000000E-09; -55.9367      
   4.06250000000E-09; -53.7974      
   4.12500000000E-09; -51.9759      
   4.18750000000E-09; -50.4425      
   4.25000000000E-09; -49.1744      
   4.31250000000E-09; -48.1541      
   4.37500000000E-09; -47.3682      
   4.43750000000E-09; -46.8066      
   4.50000000000E-09; -46.4611      
   4.56250000000E-09; -46.3256      
   4.62500000000E-09; -46.3949      
   4.68750000000E-09; -46.6644      
   4.75000000000E-09; -47.1292      
   4.81250000000E-09; -47.7834      
   4.87500000000E-09; -48.6182      
   4.93750000000E-09; -49.6206      
   5.00000000000E-09; -50.771       
   5.06250000000E-09; -52.0407      
   5.12500000000E-09; -53.3895      
   5.18750000000E-09; -54.7646      
   5.25000000000E-09; -56.1015      
   5.31250000000E-09; -57.3307      
   5.37500000000E-09; -58.3909      
   5.43750000000E-09; -59.246       
   5.50000000000E-09; -59.8959      
   5.56250000000E-09; -60.3758      
   5.62500000000E-09; -60.7415      
   5.68750000000E-09; -61.0522      
   5.75000000000E-09; -61.3595      
   5.81250000000E-09; -61.7038      
   5.87500000000E-09; -62.1172      
   5.93750000000E-09; -62.6261      
   6.00000000000E-09; -63.256       
   6.06250000000E-09; -64.0342      
   6.12500000000E-09; -64.994       
   6.18750000000E-09; -66.1775      
   6.25000000000E-09; -67.6133      
   6.31250000000E-09; -69.162       
   6.37500000000E-09; -70.6181      
   6.43750000000E-09; -71.8308      
   6.50000000000E-09; -72.636       
   6.56250000000E-09; -72.8848      
   6.62500000000E-09; -72.5137      
   6.68750000000E-09; -71.5892      
   6.75000000000E-09; -70.2813      
   6.81250000000E-09; -68.8132      
   6.87500000000E-09; -67.4852      
   6.93750000000E-09; -66.4062      
   7.00000000000E-09; -65.5315      
   7.06250000000E-09; -64.8174      
   7.12500000000E-09; -64.2338      
   7.18750000000E-09; -63.7614      
   7.25000000000E-09; -63.3883      
   7.31250000000E-09; -63.1072      
   7.37500000000E-09; -62.913       
   7.43750000000E-09; -62.8016      
   7.50000000000E-09; -62.7686      
   7.56250000000E-09; -62.8088      
   7.62500000000E-09; -62.9162      
   7.68750000000E-09; -63.084       
   7.75000000000E-09; -63.3054      
   7.81250000000E-09; -63.5747      
   7.87500000000E-09; -63.8884      
   7.93750000000E-09; -64.2468      
   8.00000000000E-09; -64.6549      
   8.06250000000E-09; -65.1226      
   8.12500000000E-09; -65.6651      
   8.18750000000E-09; -66.3019      
   8.25000000000E-09; -67.0555      
   8.31250000000E-09; -67.9481      
   8.37500000000E-09; -68.9956      
   8.43750000000E-09; -70.194       
   8.50000000000E-09; -71.4963      
   8.56250000000E-09; -72.7874      
   8.62500000000E-09; -73.8726      
   8.68750000000E-09; -74.4885      
   8.75000000000E-09; -74.3907      
   8.81250000000E-09; -73.5069      
   8.87500000000E-09; -71.9959      
   8.93750000000E-09; -70.1347      
   9.00000000000E-09; -68.1738      
   9.06250000000E-09; -66.2803      
   9.12500000000E-09; -64.5411      
   9.18750000000E-09; -62.9882      
   9.25000000000E-09; -61.6269      
   9.31250000000E-09; -60.4521      
   9.37500000000E-09; -59.4546      
   9.43750000000E-09; -58.6235      
   9.50000000000E-09; -57.9477      
   9.56250000000E-09; -57.4164      
   9.62500000000E-09; -57.0198      
   9.68750000000E-09; -56.7493      
   9.75000000000E-09; -56.5975      
   9.81250000000E-09; -56.5583      
   9.87500000000E-09; -56.6266      
   9.93750000000E-09; -56.7988      
   1.00000000000E-08; -57.0719      
   1.00625000000E-08; -57.4437      
   1.01250000000E-08; -57.912       
   1.01875000000E-08; -58.4742      
   1.02500000000E-08; -59.1267      
   1.03125000000E-08; -59.8644      
   1.03750000000E-08; -60.6796      
   1.04375000000E-08; -61.5624      
   1.05000000000E-08; -62.5007      
   1.05625000000E-08; -63.4819      
   1.06250000000E-08; -64.4946      
   1.06875000000E-08; -65.531       
   1.07500000000E-08; -66.5894      
   1.08125000000E-08; -67.6765      
   1.08750000000E-08; -68.8081      
   1.09375000000E-08; -70.0096      
   1.10000000000E-08; -71.311       
   1.10625000000E-08; -72.7345      
   1.11250000000E-08; -74.2688      
   1.11875000000E-08; -75.8622      
   1.12500000000E-08; -77.4603      
   1.13125000000E-08; -79.0204      
   1.13750000000E-08; -80.5049      
   1.14375000000E-08; -81.8736      
   1.15000000000E-08; -83.0527      
   1.15625000000E-08; -83.8484      
   1.16250000000E-08; -84.0044      
   1.16875000000E-08; -83.4526      
   1.17500000000E-08; -82.7204      
   1.18125000000E-08; -81.7749      
   1.18750000000E-08; -80.7027      
   1.19375000000E-08; -79.5575      
   1.20000000000E-08; -78.3845      
   1.20625000000E-08; -77.2335      
   1.21250000000E-08; -76.1706      
   1.21875000000E-08; -75.2538      
   1.22500000000E-08; -74.4824      
   1.23125000000E-08; -73.8139      
   1.23750000000E-08; -73.1986      
   1.24375000000E-08; -72.5968      
   1.25000000000E-08; -71.9852      
   1.25625000000E-08; -71.3571      
   1.26250000000E-08; -70.7209      
   1.26875000000E-08; -70.0964      
   1.27500000000E-08; -69.5114      
   1.28125000000E-08; -68.9957      
   1.28750000000E-08; -68.5754      
   1.29375000000E-08; -68.2677      
   1.30000000000E-08; -68.0781      
   1.30625000000E-08; -68.0007      
   1.31250000000E-08; -68.0196      
   1.31875000000E-08; -68.1114      
   1.32500000000E-08; -68.2484      
   1.33125000000E-08; -68.4031      
   1.33750000000E-08; -68.5528      
   1.34375000000E-08; -68.6845      
   1.35000000000E-08; -68.7974      
   1.35625000000E-08; -68.9054      
   1.36250000000E-08; -69.0364      
   1.36875000000E-08; -69.2309      
   1.37500000000E-08; -69.54        
   1.38125000000E-08; -70.0243      
   1.38750000000E-08; -70.7536      
   1.39375000000E-08; -71.7934      
   1.40000000000E-08; -73.0001      
   1.40625000000E-08; -74.0513      
   1.41250000000E-08; -74.7675      
   1.41875000000E-08; -75.0097      
   1.42500000000E-08; -74.7119      
   1.43125000000E-08; -73.9132      
   1.43750000000E-08; -72.7359      
   1.44375000000E-08; -71.3323      
   1.45000000000E-08; -69.8529      
   1.45625000000E-08; -68.5352      
   1.46250000000E-08; -67.5263      
   1.46875000000E-08; -66.7827      
   1.47500000000E-08; -66.2563      
   1.48125000000E-08; -65.91        
   1.48750000000E-08; -65.7155      
   1.49375000000E-08; -65.6514      
   1.50000000000E-08; -65.7021      
   1.50625000000E-08; -65.8573      
   1.51250000000E-08; -66.1118      
   1.51875000000E-08; -66.4655      
   1.52500000000E-08; -66.9232      
   1.53125000000E-08; -67.4946      
   1.53750000000E-08; -68.1934      
   1.54375000000E-08; -69.0368      
   1.55000000000E-08; -70.0425      
   1.55625000000E-08; -71.219       
   1.56250000000E-08; -72.5392      
   1.56875000000E-08; -73.9102      
   1.57500000000E-08; -75.1919      
   1.58125000000E-08; -76.2206      
   1.58750000000E-08; -76.823       
   1.59375000000E-08; -76.8656      
   1.60000000000E-08; -76.3192      
   1.60625000000E-08; -75.2818      
   1.61250000000E-08; -73.9339      
   1.61875000000E-08; -72.4741      
   1.62500000000E-08; -71.059       
   1.63125000000E-08; -69.7599      
   1.63750000000E-08; -68.5908      
   1.64375000000E-08; -67.5509      
   1.65000000000E-08; -66.6388      
   1.65625000000E-08; -65.8555      
   1.66250000000E-08; -65.2036      
   1.66875000000E-08; -64.6861      
   1.67500000000E-08; -64.3057      
   1.68125000000E-08; -64.0643      
   1.68750000000E-08; -63.9624      
   1.69375000000E-08; -63.9988      
   1.70000000000E-08; -64.1699      
   1.70625000000E-08; -64.4692      
   1.71250000000E-08; -64.886       
   1.71875000000E-08; -65.4042      
   1.72500000000E-08; -66.0004      
   1.73125000000E-08; -66.6421      
   1.73750000000E-08; -67.2862      
   1.74375000000E-08; -67.8811      
   1.75000000000E-08; -68.3726      
   1.75625000000E-08; -68.7151      
   1.76250000000E-08; -68.8839      
   1.76875000000E-08; -68.8827      
   1.77500000000E-08; -68.7431      
   1.78125000000E-08; -68.5157      
   1.78750000000E-08; -68.2587      
   1.79375000000E-08; -68.0275      
   1.80000000000E-08; -67.8679      
   1.80625000000E-08; -67.8112      
   1.81250000000E-08; -67.8717      
   1.81875000000E-08; -68.0442      
   1.82500000000E-08; -68.305       
   1.83125000000E-08; -68.6173      
   1.83750000000E-08; -68.9399      
   1.84375000000E-08; -69.2362      
   1.85000000000E-08; -69.4792      
   1.85625000000E-08; -69.655       
   1.86250000000E-08; -69.7641      
   1.86875000000E-08; -69.8216      
   1.87500000000E-08; -69.8551      
   1.88125000000E-08; -69.8973      
   1.88750000000E-08; -69.9761      
   1.89375000000E-08; -70.1049      
   1.90000000000E-08; -70.2808      
   1.90625000000E-08; -70.4897      
   1.91250000000E-08; -70.7136      
   1.91875000000E-08; -70.936       
   1.92500000000E-08; -71.1467      
   1.93125000000E-08; -71.3445      
   1.93750000000E-08; -71.5383      
   1.94375000000E-08; -71.746       
   1.95000000000E-08; -71.9894      
   1.95625000000E-08; -72.2881      
   1.96250000000E-08; -72.6523      
   1.96875000000E-08; -73.0807      
   1.97500000000E-08; -73.5593      
   1.98125000000E-08; -74.0638      
   1.98750000000E-08; -74.5624      
   1.99375000000E-08; -75.0205      
   2.00000000000E-08; -75.4053      
   2.00625000000E-08; -75.6923      
   2.01250000000E-08; -75.8696      
   2.01875000000E-08; -75.9407      
   2.02500000000E-08; -75.922       
   2.03125000000E-08; -75.8393      
   2.03750000000E-08; -75.7229      
   2.04375000000E-08; -75.6025      
   2.05000000000E-08; -75.5054      
   2.05625000000E-08; -75.4543      
   2.06250000000E-08; -75.4663      
   2.06875000000E-08; -75.5526      
   2.07500000000E-08; -75.7176      
   2.08125000000E-08; -75.9575      
   2.08750000000E-08; -76.2598      
   2.09375000000E-08; -76.6029      
   2.10000000000E-08; -76.9571      
   2.10625000000E-08; -77.2869      
   2.11250000000E-08; -77.5546      
   2.11875000000E-08; -77.7241      
   2.12500000000E-08; -77.7661      
   2.13125000000E-08; -77.6636      
   2.13750000000E-08; -77.4153      
   2.14375000000E-08; -77.0374      
   2.15000000000E-08; -76.5598      
   2.15625000000E-08; -76.0194      
   2.16250000000E-08; -75.454       
   2.16875000000E-08; -74.8976      
   2.17500000000E-08; -74.3793      
   2.18125000000E-08; -73.9234      
   2.18750000000E-08; -73.5502      
   2.19375000000E-08; -73.2757      
   2.20000000000E-08; -73.1122      
   2.20625000000E-08; -73.0675      
   2.21250000000E-08; -73.1448      
   2.21875000000E-08; -73.3417      
   2.22500000000E-08; -73.6498      
   2.23125000000E-08; -74.0533      
   2.23750000000E-08; -74.5291      
   2.24375000000E-08; -75.0464      
   2.25000000000E-08; -75.5693      
   2.25625000000E-08; -76.0608      
   2.26250000000E-08; -76.4877      
   2.26875000000E-08; -76.827       
   2.27500000000E-08; -77.07        
   2.28125000000E-08; -77.2239      
   2.28750000000E-08; -77.3095      
   2.29375000000E-08; -77.3553      
   2.30000000000E-08; -77.3903      
   2.30625000000E-08; -77.4369      
   2.31250000000E-08; -77.5067      
   2.31875000000E-08; -77.5992      
   2.32500000000E-08; -77.7021      
   2.33125000000E-08; -77.7947      
   2.33750000000E-08; -77.8501      
   2.34375000000E-08; -77.8399      
   2.35000000000E-08; -77.7385      
   2.35625000000E-08; -77.528       
   2.36250000000E-08; -77.2031      
   2.36875000000E-08; -76.7718      
   2.37500000000E-08; -76.2541      
   2.38125000000E-08; -75.6771      
   2.38750000000E-08; -75.0705      
   2.39375000000E-08; -74.4623      
   2.40000000000E-08; -73.8778      
   2.40625000000E-08; -73.3381      
   2.41250000000E-08; -72.8609      
   2.41875000000E-08; -72.4603      
   2.42500000000E-08; -72.1474      
   2.43125000000E-08; -71.9307      
   2.43750000000E-08; -71.8167      
   2.44375000000E-08; -71.8104      
   2.45000000000E-08; -71.9158      
   2.45625000000E-08; -72.1372      
   2.46250000000E-08; -72.4792      
   2.46875000000E-08; -72.9476      
   2.47500000000E-08; -73.5507      
   2.48125000000E-08; -74.2997      
   2.48750000000E-08; -75.2104      
   2.49375000000E-08; -76.3048      
   2.50000000000E-08; -77.6124      
   2.50625000000E-08; -79.1619      
   2.51250000000E-08; -80.9096      
   2.51875000000E-08; -82.6864      
   2.52500000000E-08; -84.3331      
   2.53125000000E-08; -85.6735      
   2.53750000000E-08; -86.5252      
   2.54375000000E-08; -86.7708      
   2.55000000000E-08; -86.4259      
   2.55625000000E-08; -85.6352      
   2.56250000000E-08; -84.6119      
   2.56875000000E-08; -83.6383      
   2.57500000000E-08; -82.9423      
   2.58125000000E-08; -82.5206      
   2.58750000000E-08; -82.3159      
   2.59375000000E-08; -82.2733      
   2.60000000000E-08; -82.3494      
   2.60625000000E-08; -82.5161      
   2.61250000000E-08; -82.7581      
   2.61875000000E-08; -83.0617      
   2.62500000000E-08; -83.3858      
   2.63125000000E-08; -83.6231      
   2.63750000000E-08; -83.6086      
   2.64375000000E-08; -83.2151      
   2.65000000000E-08; -82.4224      
   2.65625000000E-08; -81.3027      
   2.66250000000E-08; -79.9674      
   2.66875000000E-08; -78.525       
   2.67500000000E-08; -77.0664      
   2.68125000000E-08; -75.6682      
   2.68750000000E-08; -74.3997      
   2.69375000000E-08; -73.3162      
   2.70000000000E-08; -72.4456      
   2.70625000000E-08; -71.7946      
   2.71250000000E-08; -71.3616      
   2.71875000000E-08; -71.1446      
   2.72500000000E-08; -71.1448      
   2.73125000000E-08; -71.3684      
   2.73750000000E-08; -71.8281      
   2.74375000000E-08; -72.5413      
   2.75000000000E-08; -73.5156      
   2.75625000000E-08; -74.675       
   2.76250000000E-08; -75.8138      
   2.76875000000E-08; -76.722       
   2.77500000000E-08; -77.2107      
   2.78125000000E-08; -77.1438      
   2.78750000000E-08; -76.4961      
   2.79375000000E-08; -75.3669      
   2.80000000000E-08; -73.9274      
   2.80625000000E-08; -72.3618      
   2.81250000000E-08; -70.8544      
   2.81875000000E-08; -69.5375      
   2.82500000000E-08; -68.4276      
   2.83125000000E-08; -67.5026      
   2.83750000000E-08; -66.7398      
   2.84375000000E-08; -66.1218      
   2.85000000000E-08; -65.6358      
   2.85625000000E-08; -65.2728      
   2.86250000000E-08; -65.0261      
   2.86875000000E-08; -64.8912      
   2.87500000000E-08; -64.8655      
   2.88125000000E-08; -64.9477      
   2.88750000000E-08; -65.1379      
   2.89375000000E-08; -65.438       
   2.90000000000E-08; -65.8509      
   2.90625000000E-08; -66.3814      
   2.91250000000E-08; -67.0357      
   2.91875000000E-08; -67.8215      
   2.92500000000E-08; -68.7485      
   2.93125000000E-08; -69.8278      
   2.93750000000E-08; -71.0726      
   2.94375000000E-08; -72.4983      
   2.95000000000E-08; -74.122       
   2.95625000000E-08; -75.9622      
   2.96250000000E-08; -78.035       
   2.96875000000E-08; -80.3467      
   2.97500000000E-08; -82.8925      
   2.98125000000E-08; -85.6695      
   2.98750000000E-08; -88.6635      
   2.99375000000E-08; -91.7836      
   3.00000000000E-08; -94.7603      
   3.00625000000E-08; -97.12        
   3.01250000000E-08; -98.399       
   3.01875000000E-08; -98.5605      
   3.02500000000E-08; -98.0408      
   3.03125000000E-08; -97.2635      
   3.03750000000E-08; -96.3439      
   3.04375000000E-08; -95.274       
   3.05000000000E-08; -94.1087      
   3.05625000000E-08; -92.9442      
   3.06250000000E-08; -91.8315      
   3.06875000000E-08; -90.7792      
   3.07500000000E-08; -89.7802      
   3.08125000000E-08; -88.8265      
   3.08750000000E-08; -87.9151      
   3.09375000000E-08; -87.0494      
   3.10000000000E-08; -86.2331      
   3.10625000000E-08; -85.464       
   3.11250000000E-08; -84.7327      
   3.11875000000E-08; -84.0267      
   3.12500000000E-08; -83.3332      
   3.13125000000E-08; -82.6419      
   3.13750000000E-08; -81.946       
   3.14375000000E-08; -81.243       
   3.15000000000E-08; -80.5345      
   3.15625000000E-08; -79.8258      
   3.16250000000E-08; -79.1246      
   3.16875000000E-08; -78.4408      
   3.17500000000E-08; -77.7856      
   3.18125000000E-08; -77.172       
   3.18750000000E-08; -76.6145      
   3.19375000000E-08; -76.1287      
   3.20000000000E-08; -75.7311      
   3.20625000000E-08; -75.4373      
   3.21250000000E-08; -75.2615      
   3.21875000000E-08; -75.2151      
   3.22500000000E-08; -75.3053      
   3.23125000000E-08; -75.5342      
   3.23750000000E-08; -75.8978      
   3.24375000000E-08; -76.3849      
   3.25000000000E-08; -76.9777      
   3.25625000000E-08; -77.6534      
   3.26250000000E-08; -78.3878      
   3.26875000000E-08; -79.1587      
   3.27500000000E-08; -79.9496      
   3.28125000000E-08; -80.7512      
   3.28750000000E-08; -81.559       
   3.29375000000E-08; -82.3615      
   3.30000000000E-08; -83.1141      
   3.30625000000E-08; -83.7259      
   3.31250000000E-08; -84.0937      
   3.31875000000E-08; -84.1475      
   3.32500000000E-08; -83.8686      
   3.33125000000E-08; -83.2882      
   3.33750000000E-08; -82.474       
   3.34375000000E-08; -81.5129      
   3.35000000000E-08; -80.4971      
   3.35625000000E-08; -79.5185      
   3.36250000000E-08; -78.6539      
   3.36875000000E-08; -77.9444      
   3.37500000000E-08; -77.3976      
   3.38125000000E-08; -77.0052      
   3.38750000000E-08; -76.7551      
   3.39375000000E-08; -76.6374      
   3.40000000000E-08; -76.6469      
   3.40625000000E-08; -76.7836      
   3.41250000000E-08; -77.0528      
   3.41875000000E-08; -77.4628      
   3.42500000000E-08; -78.0222      
   3.43125000000E-08; -78.7343      
   3.43750000000E-08; -79.5888      
   3.44375000000E-08; -80.5602      
   3.45000000000E-08; -81.6211      
   3.45625000000E-08; -82.761       
   3.46250000000E-08; -83.9974      
   3.46875000000E-08; -85.3805      
   3.47500000000E-08; -86.9573      
   3.48125000000E-08; -88.3185      
   3.48750000000E-08; -88.884       
   3.49375000000E-08; -88.4841      
   3.50000000000E-08; -87.3222      
   3.50625000000E-08; -85.738       
   3.51250000000E-08; -83.9894      
   3.51875000000E-08; -82.2232      
   3.52500000000E-08; -80.518       
   3.53125000000E-08; -78.9361      
   3.53750000000E-08; -77.649       
   3.54375000000E-08; -76.7252      
   3.55000000000E-08; -76.1336      
   3.55625000000E-08; -75.8485      
   3.56250000000E-08; -75.8542      
   3.56875000000E-08; -76.1427      
   3.57500000000E-08; -76.7095      
   3.58125000000E-08; -77.5437      
   3.58750000000E-08; -78.6025      
   3.59375000000E-08; -79.7939      
   3.60000000000E-08; -81.0071      
   3.60625000000E-08; -82.1375      
   3.61250000000E-08; -83.0845      
   3.61875000000E-08; -83.7625      
   3.62500000000E-08; -84.123       
   3.63125000000E-08; -84.1769      
   3.63750000000E-08; -84.0037      
   3.64375000000E-08; -83.7478      
   3.65000000000E-08; -83.5645      
   3.65625000000E-08; -83.5156      
   3.66250000000E-08; -83.5697      
   3.66875000000E-08; -83.6597      
   3.67500000000E-08; -83.7162      
   3.68125000000E-08; -83.6804      
   3.68750000000E-08; -83.513       
   3.69375000000E-08; -83.2007      
   3.70000000000E-08; -82.7587      
   3.70625000000E-08; -82.2269      
   3.71250000000E-08; -81.6585      
   3.71875000000E-08; -81.1032      
   3.72500000000E-08; -80.5956      
   3.73125000000E-08; -80.1539      
   3.73750000000E-08; -79.7854      
   3.74375000000E-08; -79.492       
   3.75000000000E-08; -79.2737      
   3.75625000000E-08; -79.1296      
   3.76250000000E-08; -79.0585      
   3.76875000000E-08; -79.0581      
   3.77500000000E-08; -79.1241      
   3.78125000000E-08; -79.2497      
   3.78750000000E-08; -79.4251      
   3.79375000000E-08; -79.6375      
   3.80000000000E-08; -79.871       
   3.80625000000E-08; -80.1075      
   3.81250000000E-08; -80.3272      
   3.81875000000E-08; -80.5106      
   3.82500000000E-08; -80.6395      
   3.83125000000E-08; -80.699       
