
  ZVR, 3.52

  stimulus-start        ; stimulus-stop       ; stimulus-unit       ; nof-points; parameter-type; impedance-ohm
  1.50000000000E+09     ; 4.00000000000E+09   ; Hz                  ; 801       ; S21           ; 50        

  conversion            ; time-domain         ; data-format         ; param-unit; smoothing     ; trace-math
  S                     ; domain=TIME gate=OFF; MAGNITUDE           ; none      ; none          ; none

  time-domain           ; time-domain-start   ; time-domain-stop    ; td-unit   ; nof-points
  TIME                  ; 2.00000000000E-08   ; 6.00000000000E-08   ; s         ; 801 

  transformation-type   ; period              ; dielectric-epsilon  ; x-axis    
  CHIRP IMPULSE BANDPASS; 3.20000000000E-07s  ; none                ; time      

  sweep-mode-type       ; notlinear-meas-mode 
  FUNDAMENTAL           ; none                


  time              ;  S21          
   2.00000000000E-08;  1.41341E-05  
   2.00500000000E-08;  1.50119E-05  
   2.01000000000E-08;  1.55336E-05  
   2.01500000000E-08;  1.56267E-05  
   2.02000000000E-08;  1.52796E-05  
   2.02500000000E-08;  1.45588E-05  
   2.03000000000E-08;  1.36174E-05  
   2.03500000000E-08;  1.26809E-05  
   2.04000000000E-08;  1.19912E-05  
   2.04500000000E-08;  1.16944E-05  
   2.05000000000E-08;  1.17469E-05  
   2.05500000000E-08;  1.19409E-05  
   2.06000000000E-08;  1.20368E-05  
   2.06500000000E-08;  1.18796E-05  
   2.07000000000E-08;  1.14523E-05  
   2.07500000000E-08;  1.08687E-05  
   2.08000000000E-08;  1.03207E-05  
   2.08500000000E-08;  9.97127E-06  
   2.09000000000E-08;  9.84271E-06  
   2.09500000000E-08;  9.80877E-06  
   2.10000000000E-08;  9.7166E-06   
   2.10500000000E-08;  9.53892E-06  
   2.11000000000E-08;  9.44884E-06  
   2.11500000000E-08;  9.74369E-06  
   2.12000000000E-08;  1.05858E-05  
   2.12500000000E-08;  1.18031E-05  
   2.13000000000E-08;  1.30063E-05  
   2.13500000000E-08;  1.38478E-05  
   2.14000000000E-08;  1.42205E-05  
   2.14500000000E-08;  1.43781E-05  
   2.15000000000E-08;  1.49056E-05  
   2.15500000000E-08;  1.63298E-05  
   2.16000000000E-08;  1.85499E-05  
   2.16500000000E-08;  2.07836E-05  
   2.17000000000E-08;  2.19865E-05  
   2.17500000000E-08;  2.12E-05     
   2.18000000000E-08;  1.77519E-05  
   2.18500000000E-08;  1.1431E-05   
   2.19000000000E-08;  3.50683E-06  
   2.19500000000E-08;  9.85157E-06  
   2.20000000000E-08;  2.14632E-05  
   2.20500000000E-08;  3.22412E-05  
   2.21000000000E-08;  4.02183E-05  
   2.21500000000E-08;  4.39005E-05  
   2.22000000000E-08;  4.31119E-05  
   2.22500000000E-08;  4.10449E-05  
   2.23000000000E-08;  4.62254E-05  
   2.23500000000E-08;  6.44469E-05  
   2.24000000000E-08;  9.0775E-05   
   2.24500000000E-08;  0.000116769  
   2.25000000000E-08;  0.000133518  
   2.25500000000E-08;  0.000131561  
   2.26000000000E-08;  0.000102812  
   2.26500000000E-08;  6.41965E-05  
   2.27000000000E-08;  0.000146872  
   2.27500000000E-08;  0.000338665  
   2.28000000000E-08;  0.000611564  
   2.28500000000E-08;  0.000967114  
   2.29000000000E-08;  0.00140643   
   2.29500000000E-08;  0.00192673   
   2.30000000000E-08;  0.0025204    
   2.30500000000E-08;  0.00317484   
   2.31000000000E-08;  0.00387266   
   2.31500000000E-08;  0.00459227   
   2.32000000000E-08;  0.00530893   
   2.32500000000E-08;  0.00599595   
   2.33000000000E-08;  0.00662626   
   2.33500000000E-08;  0.007174     
   2.34000000000E-08;  0.00761614   
   2.34500000000E-08;  0.00793394   
   2.35000000000E-08;  0.00811423   
   2.35500000000E-08;  0.00815028   
   2.36000000000E-08;  0.00804232   
   2.36500000000E-08;  0.00779753   
   2.37000000000E-08;  0.00742961   
   2.37500000000E-08;  0.00695792   
   2.38000000000E-08;  0.00640621   
   2.38500000000E-08;  0.00580108   
   2.39000000000E-08;  0.00517031   
   2.39500000000E-08;  0.00454107   
   2.40000000000E-08;  0.00393819   
   2.40500000000E-08;  0.00338262   
   2.41000000000E-08;  0.00289001   
   2.41500000000E-08;  0.00246973   
   2.42000000000E-08;  0.00212439   
   2.42500000000E-08;  0.00185034   
   2.43000000000E-08;  0.00163929   
   2.43500000000E-08;  0.00148094   
   2.44000000000E-08;  0.00136539   
   2.44500000000E-08;  0.00128452   
   2.45000000000E-08;  0.00123193   
   2.45500000000E-08;  0.00120207   
   2.46000000000E-08;  0.00118975   
   2.46500000000E-08;  0.0011901    
   2.47000000000E-08;  0.00119917   
   2.47500000000E-08;  0.00121421   
   2.48000000000E-08;  0.00123362   
   2.48500000000E-08;  0.00125643   
   2.49000000000E-08;  0.00128153   
   2.49500000000E-08;  0.00130718   
   2.50000000000E-08;  0.00133082   
   2.50500000000E-08;  0.00134936   
   2.51000000000E-08;  0.0013597    
   2.51500000000E-08;  0.00135937   
   2.52000000000E-08;  0.00134688   
   2.52500000000E-08;  0.00132196   
   2.53000000000E-08;  0.00128548   
   2.53500000000E-08;  0.00123919   
   2.54000000000E-08;  0.00118537   
   2.54500000000E-08;  0.0011265    
   2.55000000000E-08;  0.00106506   
   2.55500000000E-08;  0.00100351   
   2.56000000000E-08;  0.000944532  
   2.56500000000E-08;  0.000891221  
   2.57000000000E-08;  0.000847252  
   2.57500000000E-08;  0.000816545  
   2.58000000000E-08;  0.000802349  
   2.58500000000E-08;  0.000805992  
   2.59000000000E-08;  0.00082602   
   2.59500000000E-08;  0.000858402  
   2.60000000000E-08;  0.000897673  
   2.60500000000E-08;  0.000938298  
   2.61000000000E-08;  0.000975697  
   2.61500000000E-08;  0.00100678   
   2.62000000000E-08;  0.00103007   
   2.62500000000E-08;  0.00104556   
   2.63000000000E-08;  0.00105436   
   2.63500000000E-08;  0.00105813   
   2.64000000000E-08;  0.0010585    
   2.64500000000E-08;  0.00105647   
   2.65000000000E-08;  0.00105196   
   2.65500000000E-08;  0.00104374   
   2.66000000000E-08;  0.00102958   
   2.66500000000E-08;  0.00100666   
   2.67000000000E-08;  0.000972156  
   2.67500000000E-08;  0.000923663  
   2.68000000000E-08;  0.000859633  
   2.68500000000E-08;  0.000779597  
   2.69000000000E-08;  0.000684276  
   2.69500000000E-08;  0.000575574  
   2.70000000000E-08;  0.000456467  
   2.70500000000E-08;  0.000330839  
   2.71000000000E-08;  0.000203298  
   2.71500000000E-08;  7.94891E-05  
   2.72000000000E-08;  4.37888E-05  
   2.72500000000E-08;  0.000145994  
   2.73000000000E-08;  0.000233962  
   2.73500000000E-08;  0.000302291  
   2.74000000000E-08;  0.000348546  
   2.74500000000E-08;  0.000371768  
   2.75000000000E-08;  0.000372649  
   2.75500000000E-08;  0.000353938  
   2.76000000000E-08;  0.000321233  
   2.76500000000E-08;  0.000284528  
   2.77000000000E-08;  0.000259943  
   2.77500000000E-08;  0.000265862  
   2.78000000000E-08;  0.000308     
   2.78500000000E-08;  0.000374863  
   2.79000000000E-08;  0.000451298  
   2.79500000000E-08;  0.000525918  
   2.80000000000E-08;  0.000590972  
   2.80500000000E-08;  0.000641223  
   2.81000000000E-08;  0.000673341  
   2.81500000000E-08;  0.000685662  
   2.82000000000E-08;  0.000678131  
   2.82500000000E-08;  0.000652334  
   2.83000000000E-08;  0.000611611  
   2.83500000000E-08;  0.000561278  
   2.84000000000E-08;  0.000508944  
   2.84500000000E-08;  0.000464579  
   2.85000000000E-08;  0.000439195  
   2.85500000000E-08;  0.000440665  
   2.86000000000E-08;  0.000468855  
   2.86500000000E-08;  0.00051603   
   2.87000000000E-08;  0.000572032  
   2.87500000000E-08;  0.000628191  
   2.88000000000E-08;  0.000678339  
   2.88500000000E-08;  0.000718514  
   2.89000000000E-08;  0.000746454  
   2.89500000000E-08;  0.000761168  
   2.90000000000E-08;  0.000762608  
   2.90500000000E-08;  0.000751406  
   2.91000000000E-08;  0.00072865   
   2.91500000000E-08;  0.000695706  
   2.92000000000E-08;  0.000654067  
   2.92500000000E-08;  0.000605243  
   2.93000000000E-08;  0.000550691  
   2.93500000000E-08;  0.000439036  
   2.94000000000E-08;  0.000379783  
   2.94500000000E-08;  0.000318942  
   2.95000000000E-08;  0.00025795   
   2.95500000000E-08;  0.000198682  
   2.96000000000E-08;  0.000144404  
   2.96500000000E-08;  0.000102939  
   2.97000000000E-08;  9.12891E-05  
   2.97500000000E-08;  0.000116153  
   2.98000000000E-08;  0.000159287  
   2.98500000000E-08;  0.000207826  
   2.99000000000E-08;  0.000257044  
   2.99500000000E-08;  0.000304957  
   3.00000000000E-08;  0.000350381  
   3.00500000000E-08;  0.000392329  
   3.01000000000E-08;  0.000429832  
   3.01500000000E-08;  0.000461898  
   3.02000000000E-08;  0.000487541  
   3.02500000000E-08;  0.00050585   
   3.03000000000E-08;  0.000516061  
   3.03500000000E-08;  0.000517636  
   3.04000000000E-08;  0.000510344  
   3.04500000000E-08;  0.000494318  
   3.05000000000E-08;  0.000470119  
   3.05500000000E-08;  0.000438789  
   3.06000000000E-08;  0.000401924  
   3.06500000000E-08;  0.000361779  
   3.07000000000E-08;  0.000321429  
   3.07500000000E-08;  0.000284949  
   3.08000000000E-08;  0.000257338  
   3.08500000000E-08;  0.000243491  
   3.09000000000E-08;  0.000245814  
   3.09500000000E-08;  0.000262447  
   3.10000000000E-08;  0.000288572  
   3.10500000000E-08;  0.000319131  
   3.11000000000E-08;  0.000350278  
   3.11500000000E-08;  0.000379532  
   3.12000000000E-08;  0.000405487  
   3.12500000000E-08;  0.000427505  
   3.13000000000E-08;  0.000445471  
   3.13500000000E-08;  0.000459578  
   3.14000000000E-08;  0.000470159  
   3.14500000000E-08;  0.00047753   
   3.15000000000E-08;  0.000481882  
   3.15500000000E-08;  0.000483223  
   3.16000000000E-08;  0.000481383  
   3.16500000000E-08;  0.000476067  
   3.17000000000E-08;  0.000466957  
   3.17500000000E-08;  0.000453817  
   3.18000000000E-08;  0.000436592  
   3.18500000000E-08;  0.000415475  
   3.19000000000E-08;  0.000390931  
   3.19500000000E-08;  0.000363677  
   3.20000000000E-08;  0.000334618  
   3.20500000000E-08;  0.000304756  
   3.21000000000E-08;  0.000275073  
   3.21500000000E-08;  0.000246424  
   3.22000000000E-08;  0.00021945   
   3.22500000000E-08;  0.000194548  
   3.23000000000E-08;  0.0001719    
   3.23500000000E-08;  0.00015158   
   3.24000000000E-08;  0.000133688  
   3.24500000000E-08;  0.00011846   
   3.25000000000E-08;  0.000106288  
   3.25500000000E-08;  9.75602E-05  
   3.26000000000E-08;  9.23404E-05  
   3.26500000000E-08;  9.0084E-05   
   3.27000000000E-08;  8.96625E-05  
   3.27500000000E-08;  8.97061E-05  
   3.28000000000E-08;  8.8987E-05   
   3.28500000000E-08;  8.66422E-05  
   3.29000000000E-08;  8.22538E-05  
   3.29500000000E-08;  7.58748E-05  
   3.30000000000E-08;  6.80728E-05  
   3.30500000000E-08;  6.00398E-05  
   3.31000000000E-08;  5.37113E-05  
   3.31500000000E-08;  5.14353E-05  
   3.32000000000E-08;  5.45008E-05  
   3.32500000000E-08;  6.18586E-05  
   3.33000000000E-08;  7.11279E-05  
   3.33500000000E-08;  8.00711E-05  
   3.34000000000E-08;  8.70036E-05  
   3.34500000000E-08;  9.07182E-05  
   3.35000000000E-08;  9.03919E-05  
   3.35500000000E-08;  8.55567E-05  
   3.36000000000E-08;  7.61132E-05  
   3.36500000000E-08;  6.23974E-05  
   3.37000000000E-08;  4.54311E-05  
   3.37500000000E-08;  2.83218E-05  
   3.38000000000E-08;  2.34783E-05  
   3.38500000000E-08;  3.9975E-05   
   3.39000000000E-08;  6.32603E-05  
   3.39500000000E-08;  8.70447E-05  
   3.40000000000E-08;  0.000109228  
   3.40500000000E-08;  0.000128662  
   3.41000000000E-08;  0.000144667  
   3.41500000000E-08;  0.000156958  
   3.42000000000E-08;  0.000165604  
   3.42500000000E-08;  0.000170986  
   3.43000000000E-08;  0.000173716  
   3.43500000000E-08;  0.00017453   
   3.44000000000E-08;  0.000174191  
   3.44500000000E-08;  0.000173415  
   3.45000000000E-08;  0.000172864  
   3.45500000000E-08;  0.000173213  
   3.46000000000E-08;  0.000175254  
   3.46500000000E-08;  0.000179955  
   3.47000000000E-08;  0.000188385  
   3.47500000000E-08;  0.000201477  
   3.48000000000E-08;  0.000219719  
   3.48500000000E-08;  0.000242975  
   3.49000000000E-08;  0.000270505  
   3.49500000000E-08;  0.000301147  
   3.50000000000E-08;  0.000333527  
   3.50500000000E-08;  0.000366233  
   3.51000000000E-08;  0.000397934  
   3.51500000000E-08;  0.000427456  
   3.52000000000E-08;  0.000453829  
   3.52500000000E-08;  0.000476304  
   3.53000000000E-08;  0.000494356  
   3.53500000000E-08;  0.000507678  
   3.54000000000E-08;  0.000516156  
   3.54500000000E-08;  0.000519858  
   3.55000000000E-08;  0.000519     
   3.55500000000E-08;  0.000513931  
   3.56000000000E-08;  0.000505111  
   3.56500000000E-08;  0.000493085  
   3.57000000000E-08;  0.000478462  
   3.57500000000E-08;  0.000461892  
   3.58000000000E-08;  0.000444031  
   3.58500000000E-08;  0.000425518  
   3.59000000000E-08;  0.00040694   
   3.59500000000E-08;  0.000388813  
   3.60000000000E-08;  0.000371564  
   3.60500000000E-08;  0.000355519  
   3.61000000000E-08;  0.000340904  
   3.61500000000E-08;  0.000327852  
   3.62000000000E-08;  0.000316405  
   3.62500000000E-08;  0.000306518  
   3.63000000000E-08;  0.000298068  
   3.63500000000E-08;  0.000290854  
   3.64000000000E-08;  0.000284613  
   3.64500000000E-08;  0.000279034  
   3.65000000000E-08;  0.000273789  
   3.65500000000E-08;  0.000268559  
   3.66000000000E-08;  0.000263064  
   3.66500000000E-08;  0.000257086  
   3.67000000000E-08;  0.000250482  
   3.67500000000E-08;  0.000243184  
   3.68000000000E-08;  0.000235201  
   3.68500000000E-08;  0.000226604  
   3.69000000000E-08;  0.000217515  
   3.69500000000E-08;  0.00020809   
   3.70000000000E-08;  0.000198502  
   3.70500000000E-08;  0.000188928  
   3.71000000000E-08;  0.000179522  
   3.71500000000E-08;  0.000170403  
   3.72000000000E-08;  0.000161631  
   3.72500000000E-08;  0.000153196  
   3.73000000000E-08;  0.000145025  
   3.73500000000E-08;  0.000136995  
   3.74000000000E-08;  0.000128973  
   3.74500000000E-08;  0.000120867  
   3.75000000000E-08;  0.000112677  
   3.75500000000E-08;  0.00010455   
   3.76000000000E-08;  9.68259E-05  
   3.76500000000E-08;  9.00498E-05  
   3.77000000000E-08;  8.49364E-05  
   3.77500000000E-08;  8.22329E-05  
   3.78000000000E-08;  8.24781E-05  
   3.78500000000E-08;  8.57784E-05  
   3.79000000000E-08;  9.17878E-05  
   3.79500000000E-08;  9.99032E-05  
   3.80000000000E-08;  0.000109497  
   3.80500000000E-08;  0.000120047  
   3.81000000000E-08;  0.000131176  
   3.81500000000E-08;  0.000142634  
   3.82000000000E-08;  0.000154291  
   3.82500000000E-08;  0.000166129  
   3.83000000000E-08;  0.000178249  
   3.83500000000E-08;  0.000190882  
   3.84000000000E-08;  0.000204369  
   3.84500000000E-08;  0.000219111  
   3.85000000000E-08;  0.000235484  
   3.85500000000E-08;  0.000253712  
   3.86000000000E-08;  0.000273763  
   3.86500000000E-08;  0.000295274  
   3.87000000000E-08;  0.000317539  
   3.87500000000E-08;  0.000339564  
   3.88000000000E-08;  0.000360154  
   3.88500000000E-08;  0.000378026  
   3.89000000000E-08;  0.000391929  
   3.89500000000E-08;  0.00040075   
   3.90000000000E-08;  0.000403608  
   3.90500000000E-08;  0.000399928  
   3.91000000000E-08;  0.000389489  
   3.91500000000E-08;  0.000372454  
   3.92000000000E-08;  0.000349369  
   3.92500000000E-08;  0.000321141  
   3.93000000000E-08;  0.000289006  
   3.93500000000E-08;  0.000254476  
   3.94000000000E-08;  0.0002193    
   3.94500000000E-08;  0.000185417  
   3.95000000000E-08;  0.000154923  
   3.95500000000E-08;  0.00012996   
   3.96000000000E-08;  0.000112335  
   3.96500000000E-08;  0.000102686  
   3.97000000000E-08;  9.97717E-05  
   3.97500000000E-08;  0.000101035  
   3.98000000000E-08;  0.000104091  
   3.98500000000E-08;  0.000107626  
   3.99000000000E-08;  0.000111454  
   3.99500000000E-08;  0.000116189  
   4.00000000000E-08;  0.000122812  
   4.00500000000E-08;  0.000132212  
   4.01000000000E-08;  0.000144829  
   4.01500000000E-08;  0.000160535  
   4.02000000000E-08;  0.000178746  
   4.02500000000E-08;  0.000198624  
   4.03000000000E-08;  0.000219241  
   4.03500000000E-08;  0.000239673  
   4.04000000000E-08;  0.000259052  
   4.04500000000E-08;  0.000276579  
   4.05000000000E-08;  0.000291541  
   4.05500000000E-08;  0.000303319  
   4.06000000000E-08;  0.000311407  
   4.06500000000E-08;  0.000315432  
   4.07000000000E-08;  0.000315171  
   4.07500000000E-08;  0.000310568  
   4.08000000000E-08;  0.000301749  
   4.08500000000E-08;  0.000289025  
   4.09000000000E-08;  0.000272898  
   4.09500000000E-08;  0.000254052  
   4.10000000000E-08;  0.000233352  
   4.10500000000E-08;  0.000211831  
   4.11000000000E-08;  0.000190683  
   4.11500000000E-08;  0.000171233  
   4.12000000000E-08;  0.000154858  
   4.12500000000E-08;  0.000142783  
   4.13000000000E-08;  0.000135743  
   4.13500000000E-08;  0.000133647  
   4.14000000000E-08;  0.000135564  
   4.14500000000E-08;  0.000140084  
   4.15000000000E-08;  0.000145796  
   4.15500000000E-08;  0.000151565  
   4.16000000000E-08;  0.000156609  
   4.16500000000E-08;  0.000160467  
   4.17000000000E-08;  0.000162924  
   4.17500000000E-08;  0.00016395   
   4.18000000000E-08;  0.000163646  
   4.18500000000E-08;  0.000162197  
   4.19000000000E-08;  0.000159836  
   4.19500000000E-08;  0.000156815  
   4.20000000000E-08;  0.000153378  
   4.20500000000E-08;  0.000149738  
   4.21000000000E-08;  0.000146061  
   4.21500000000E-08;  0.000142458  
   4.22000000000E-08;  0.000138973  
   4.22500000000E-08;  0.000135583  
   4.23000000000E-08;  0.000132202  
   4.23500000000E-08;  0.000128689  
   4.24000000000E-08;  0.000124869  
   4.24500000000E-08;  0.000120568  
   4.25000000000E-08;  0.000115655  
   4.25500000000E-08;  0.000110101  
   4.26000000000E-08;  0.00010405   
   4.26500000000E-08;  9.78868E-05  
   4.27000000000E-08;  9.23019E-05  
   4.27500000000E-08;  8.82729E-05  
   4.28000000000E-08;  8.68797E-05  
   4.28500000000E-08;  8.89017E-05  
   4.29000000000E-08;  9.44065E-05  
   4.29500000000E-08;  0.0001027    
   4.30000000000E-08;  0.000112651  
   4.30500000000E-08;  0.000123068  
   4.31000000000E-08;  0.000132902  
   4.31500000000E-08;  0.000141333  
   4.32000000000E-08;  0.000147773  
   4.32500000000E-08;  0.000151865  
   4.33000000000E-08;  0.000153455  
   4.33500000000E-08;  0.000152575  
   4.34000000000E-08;  0.000149405  
   4.34500000000E-08;  0.000144236  
   4.35000000000E-08;  0.000137422  
   4.35500000000E-08;  0.000129329  
   4.36000000000E-08;  0.000120295  
   4.36500000000E-08;  0.000110586  
   4.37000000000E-08;  0.00010038   
   4.37500000000E-08;  8.97588E-05  
   4.38000000000E-08;  7.87374E-05  
   4.38500000000E-08;  6.7309E-05   
   4.39000000000E-08;  5.5528E-05   
   4.39500000000E-08;  4.36679E-05  
   4.40000000000E-08;  3.2619E-05   
   4.40500000000E-08;  2.49965E-05  
   4.41000000000E-08;  2.55786E-05  
   4.41500000000E-08;  3.45969E-05  
   4.42000000000E-08;  4.75655E-05  
   4.42500000000E-08;  6.17599E-05  
   4.43000000000E-08;  7.59262E-05  
   4.43500000000E-08;  8.93243E-05  
   4.44000000000E-08;  0.000101417  
   4.44500000000E-08;  0.00011179   
   4.45000000000E-08;  0.000120137  
   4.45500000000E-08;  0.00012627   
   4.46000000000E-08;  0.000130129  
   4.46500000000E-08;  0.000131792  
   4.47000000000E-08;  0.000131482  
   4.47500000000E-08;  0.000129565  
   4.48000000000E-08;  0.000126537  
   4.48500000000E-08;  0.000123     
   4.49000000000E-08;  0.000119619  
   4.49500000000E-08;  0.000117048  
   4.50000000000E-08;  0.000115843  
   4.50500000000E-08;  0.000116374  
   4.51000000000E-08;  0.000118775  
   4.51500000000E-08;  0.000122968  
   4.52000000000E-08;  0.000128739  
   4.52500000000E-08;  0.000142955  
   4.53000000000E-08;  0.000151477  
   4.53500000000E-08;  0.000160884  
   4.54000000000E-08;  0.000171015  
   4.54500000000E-08;  0.000181727  
   4.55000000000E-08;  0.000192871  
   4.55500000000E-08;  0.000204265  
   4.56000000000E-08;  0.000215682  
   4.56500000000E-08;  0.000226839  
   4.57000000000E-08;  0.000237407  
   4.57500000000E-08;  0.000247017  
   4.58000000000E-08;  0.000255282  
   4.58500000000E-08;  0.000261818  
   4.59000000000E-08;  0.000266269  
   4.59500000000E-08;  0.000268328  
   4.60000000000E-08;  0.000267776  
   4.60500000000E-08;  0.000264511  
   4.61000000000E-08;  0.000258594  
   4.61500000000E-08;  0.000250314  
   4.62000000000E-08;  0.000240263  
   4.62500000000E-08;  0.000229437  
   4.63000000000E-08;  0.000219334  
   4.63500000000E-08;  0.000211987  
   4.64000000000E-08;  0.000209769  
   4.64500000000E-08;  0.000214859  
   4.65000000000E-08;  0.000228494  
   4.65500000000E-08;  0.00025056   
   4.66000000000E-08;  0.00027984   
   4.66500000000E-08;  0.000314605  
   4.67000000000E-08;  0.000353083  
   4.67500000000E-08;  0.00039367   
   4.68000000000E-08;  0.000434977  
   4.68500000000E-08;  0.000475818  
   4.69000000000E-08;  0.000515173  
   4.69500000000E-08;  0.000552166  
   4.70000000000E-08;  0.000586045  
   4.70500000000E-08;  0.000616169  
   4.71000000000E-08;  0.000642008  
   4.71500000000E-08;  0.000663131  
   4.72000000000E-08;  0.000679217  
   4.72500000000E-08;  0.000690051  
   4.73000000000E-08;  0.000695529  
   4.73500000000E-08;  0.00069566   
   4.74000000000E-08;  0.000690563  
   4.74500000000E-08;  0.000680464  
   4.75000000000E-08;  0.000665693  
   4.75500000000E-08;  0.000646666  
   4.76000000000E-08;  0.000623879  
   4.76500000000E-08;  0.000597888  
   4.77000000000E-08;  0.000569291  
   4.77500000000E-08;  0.000538706  
   4.78000000000E-08;  0.000506757  
   4.78500000000E-08;  0.000474054  
   4.79000000000E-08;  0.000441176  
   4.79500000000E-08;  0.000408663  
   4.80000000000E-08;  0.000377007  
   4.80500000000E-08;  0.000346656  
   4.81000000000E-08;  0.000318015  
   4.81500000000E-08;  0.000291461  
   4.82000000000E-08;  0.000267358  
   4.82500000000E-08;  0.000246071  
   4.83000000000E-08;  0.000227972  
