
  ZVR, 3.52

  stimulus-start        ; stimulus-stop       ; stimulus-unit       ; nof-points; parameter-type; impedance-ohm
  1.50000000000E+09     ; 4.00000000000E+09   ; Hz                  ; 801       ; S21           ; 50        

  conversion            ; time-domain         ; data-format         ; param-unit; smoothing     ; trace-math
  S                     ; domain=TIME gate=OFF; MAGNITUDE           ; dB        ; 1%            ; none

  time-domain           ; time-domain-start   ; time-domain-stop    ; td-unit   ; nof-points
  TIME                  ; 0.00000000000E+00   ; 5.00000000000E-08   ; s         ; 801 

  transformation-type   ; period              ; dielectric-epsilon  ; x-axis    
  CHIRP IMPULSE BANDPASS; 3.20000000000E-07s  ; none                ; time      

  sweep-mode-type       ; notlinear-meas-mode 
  FUNDAMENTAL           ; none                


  time              ;  S21          
   0.00000000000E+00; -83.4283      
   6.25000000000E-11; -84.4406      
   1.25000000000E-10; -85.497       
   1.87500000000E-10; -86.4646      
   2.50000000000E-10; -87.1654      
   3.12500000000E-10; -89.1022      
   3.75000000000E-10; -90.8161      
   4.37500000000E-10; -92.1343      
   5.00000000000E-10; -92.9102      
   5.62500000000E-10; -93.0904      
   6.25000000000E-10; -93.6808      
   6.87500000000E-10; -93.2858      
   7.50000000000E-10; -92.6016      
   8.12500000000E-10; -92.0778      
   8.75000000000E-10; -91.9386      
   9.37500000000E-10; -92.1496      
   1.00000000000E-09; -92.6689      
   1.06250000000E-09; -93.4706      
   1.12500000000E-09; -94.5456      
   1.18750000000E-09; -95.9039      
   1.25000000000E-09; -97.579       
   1.31250000000E-09; -99.4809      
   1.37500000000E-09; -101.257      
   1.43750000000E-09; -102.466      
   1.50000000000E-09; -102.575      
   1.56250000000E-09; -101.388      
   1.62500000000E-09; -99.2924      
   1.68750000000E-09; -96.878       
   1.75000000000E-09; -94.5658      
   1.81250000000E-09; -92.5664      
   1.87500000000E-09; -91.0195      
   1.93750000000E-09; -89.9959      
   2.00000000000E-09; -89.4139      
   2.06250000000E-09; -89.0325      
   2.12500000000E-09; -88.5827      
   2.18750000000E-09; -88.0207      
   2.25000000000E-09; -87.4362      
   2.31250000000E-09; -86.9248      
   2.37500000000E-09; -86.4944      
   2.43750000000E-09; -85.9893      
   2.50000000000E-09; -85.1791      
   2.56250000000E-09; -84.076       
   2.62500000000E-09; -83.0515      
   2.68750000000E-09; -82.5936      
   2.75000000000E-09; -82.6407      
   2.81250000000E-09; -81.1708      
   2.87500000000E-09; -77.8732      
   2.93750000000E-09; -73.6811      
   3.00000000000E-09; -69.4523      
   3.06250000000E-09; -65.5532      
   3.12500000000E-09; -62.0589      
   3.18750000000E-09; -58.9444      
   3.25000000000E-09; -56.1654      
   3.31250000000E-09; -53.7017      
   3.37500000000E-09; -51.583       
   3.43750000000E-09; -49.7798      
   3.50000000000E-09; -48.2626      
   3.56250000000E-09; -47.0089      
   3.62500000000E-09; -46.0015      
   3.68750000000E-09; -45.2273      
   3.75000000000E-09; -44.6761      
   3.81250000000E-09; -44.3402      
   3.87500000000E-09; -44.2133      
   3.93750000000E-09; -44.2904      
   4.00000000000E-09; -44.5669      
   4.06250000000E-09; -45.038       
   4.12500000000E-09; -45.6977      
   4.18750000000E-09; -46.5375      
   4.25000000000E-09; -47.5443      
   4.31250000000E-09; -48.6984      
   4.37500000000E-09; -49.9712      
   4.43750000000E-09; -51.3225      
   4.50000000000E-09; -52.6994      
   4.56250000000E-09; -54.037       
   4.62500000000E-09; -55.2643      
   4.68750000000E-09; -56.3165      
   4.75000000000E-09; -57.1517      
   4.81250000000E-09; -57.7629      
   4.87500000000E-09; -58.1775      
   4.93750000000E-09; -58.4447      
   5.00000000000E-09; -58.6176      
   5.06250000000E-09; -58.6801      
   5.12500000000E-09; -58.8036      
   5.18750000000E-09; -58.9406      
   5.25000000000E-09; -59.1116      
   5.31250000000E-09; -59.3325      
   5.37500000000E-09; -59.6162      
   5.43750000000E-09; -59.9734      
   5.50000000000E-09; -60.4125      
   5.56250000000E-09; -60.9387      
   5.62500000000E-09; -61.5509      
   5.68750000000E-09; -62.2374      
   5.75000000000E-09; -62.9711      
   5.81250000000E-09; -63.7076      
   5.87500000000E-09; -64.387       
   5.93750000000E-09; -64.9422      
   6.00000000000E-09; -65.3132      
   6.06250000000E-09; -65.4621      
   6.12500000000E-09; -65.3846      
   6.18750000000E-09; -65.1102      
   6.25000000000E-09; -64.6911      
   6.31250000000E-09; -64.1874      
   6.37500000000E-09; -63.6541      
   6.43750000000E-09; -63.1336      
   6.50000000000E-09; -62.654       
   6.56250000000E-09; -62.2321      
   6.62500000000E-09; -61.877       
   6.68750000000E-09; -61.5928      
   6.75000000000E-09; -61.3811      
   6.81250000000E-09; -61.2419      
   6.87500000000E-09; -61.1745      
   6.93750000000E-09; -61.1774      
   7.00000000000E-09; -61.2485      
   7.06250000000E-09; -61.3848      
   7.12500000000E-09; -61.5817      
   7.18750000000E-09; -61.833       
   7.25000000000E-09; -62.1287      
   7.31250000000E-09; -62.4539      
   7.37500000000E-09; -62.7875      
   7.43750000000E-09; -63.1022      
   7.50000000000E-09; -63.3682      
   7.56250000000E-09; -63.5583      
   7.62500000000E-09; -63.6542      
   7.68750000000E-09; -63.6506      
   7.75000000000E-09; -63.556       
   7.81250000000E-09; -63.3921      
   7.87500000000E-09; -63.1902      
   7.93750000000E-09; -62.9878      
   8.00000000000E-09; -62.8237      
   8.06250000000E-09; -62.7329      
   8.12500000000E-09; -62.7422      
   8.18750000000E-09; -62.866       
   8.25000000000E-09; -63.1017      
   8.31250000000E-09; -63.4248      
   8.37500000000E-09; -63.7854      
   8.43750000000E-09; -64.1156      
   8.50000000000E-09; -64.3462      
   8.56250000000E-09; -64.426       
   8.62500000000E-09; -64.3332      
   8.68750000000E-09; -64.0786      
   8.75000000000E-09; -63.6999      
   8.81250000000E-09; -63.2508      
   8.87500000000E-09; -62.7871      
   8.93750000000E-09; -62.3527      
   9.00000000000E-09; -61.9638      
   9.06250000000E-09; -61.6023      
   9.12500000000E-09; -61.2269      
   9.18750000000E-09; -60.7935      
   9.25000000000E-09; -60.2714      
   9.31250000000E-09; -59.6501      
   9.37500000000E-09; -58.9388      
   9.43750000000E-09; -58.1627      
   9.50000000000E-09; -57.358       
   9.56250000000E-09; -56.5672      
   9.62500000000E-09; -55.8314      
   9.68750000000E-09; -55.1836      
   9.75000000000E-09; -54.6437      
   9.81250000000E-09; -54.2192      
   9.87500000000E-09; -53.9093      
   9.93750000000E-09; -53.709       
   1.00000000000E-08; -53.6117      
   1.00625000000E-08; -53.6115      
   1.01250000000E-08; -53.7035      
   1.01875000000E-08; -53.8844      
   1.02500000000E-08; -54.1524      
   1.03125000000E-08; -54.5065      
   1.03750000000E-08; -54.9456      
   1.04375000000E-08; -55.4675      
   1.05000000000E-08; -56.068       
   1.05625000000E-08; -56.7398      
   1.06250000000E-08; -57.4725      
   1.06875000000E-08; -58.2533      
   1.07500000000E-08; -59.0686      
   1.08125000000E-08; -59.9053      
   1.08750000000E-08; -60.7538      
   1.09375000000E-08; -61.6097      
   1.10000000000E-08; -62.4758      
   1.10625000000E-08; -63.3629      
   1.11250000000E-08; -64.2885      
   1.11875000000E-08; -65.2711      
   1.12500000000E-08; -66.319       
   1.13125000000E-08; -67.4096      
   1.13750000000E-08; -68.4715      
   1.14375000000E-08; -69.3933      
   1.15000000000E-08; -70.0499      
   1.15625000000E-08; -70.3337      
   1.16250000000E-08; -70.1902      
   1.16875000000E-08; -69.6404      
   1.17500000000E-08; -68.7732      
   1.18125000000E-08; -67.7134      
   1.18750000000E-08; -66.5884      
   1.19375000000E-08; -65.4998      
   1.20000000000E-08; -64.5046      
   1.20625000000E-08; -63.6205      
   1.21250000000E-08; -62.8465      
   1.21875000000E-08; -62.1748      
   1.22500000000E-08; -61.5975      
   1.23125000000E-08; -61.108       
   1.23750000000E-08; -60.7016      
   1.24375000000E-08; -60.3756      
   1.25000000000E-08; -60.1285      
   1.25625000000E-08; -59.9598      
   1.26250000000E-08; -59.8689      
   1.26875000000E-08; -59.8543      
   1.27500000000E-08; -59.9128      
   1.28125000000E-08; -60.0383      
   1.28750000000E-08; -60.2217      
   1.29375000000E-08; -60.4499      
   1.30000000000E-08; -60.7072      
   1.30625000000E-08; -60.9758      
   1.31250000000E-08; -61.2384      
   1.31875000000E-08; -61.4808      
   1.32500000000E-08; -61.6936      
   1.33125000000E-08; -61.8747      
   1.33750000000E-08; -62.0294      
   1.34375000000E-08; -62.1699      
   1.35000000000E-08; -62.3136      
   1.35625000000E-08; -62.4803      
   1.36250000000E-08; -62.6888      
   1.36875000000E-08; -62.954       
   1.37500000000E-08; -63.2847      
   1.38125000000E-08; -63.6816      
   1.38750000000E-08; -64.1364      
   1.39375000000E-08; -64.6324      
   1.40000000000E-08; -65.1478      
   1.40625000000E-08; -65.659       
   1.41250000000E-08; -66.1457      
   1.41875000000E-08; -66.5943      
   1.42500000000E-08; -67.0002      
   1.43125000000E-08; -67.3671      
   1.43750000000E-08; -67.7046      
   1.44375000000E-08; -68.0224      
   1.45000000000E-08; -68.3236      
   1.45625000000E-08; -68.6001      
   1.46250000000E-08; -68.834       
   1.46875000000E-08; -69.0052      
   1.47500000000E-08; -69.098       
   1.48125000000E-08; -69.1071      
   1.48750000000E-08; -69.0393      
   1.49375000000E-08; -68.9152      
   1.50000000000E-08; -68.7679      
   1.50625000000E-08; -68.64        
   1.51250000000E-08; -68.5783      
   1.51875000000E-08; -68.6253      
   1.52500000000E-08; -68.8144      
   1.53125000000E-08; -69.1694      
   1.53750000000E-08; -69.7076      
   1.54375000000E-08; -70.4401      
   1.55000000000E-08; -71.3635      
   1.55625000000E-08; -72.4272      
   1.56250000000E-08; -73.5026      
   1.56875000000E-08; -74.4276      
   1.57500000000E-08; -75.0626      
   1.58125000000E-08; -75.3211      
   1.58750000000E-08; -75.191       
   1.59375000000E-08; -74.7323      
   1.60000000000E-08; -74.0505      
   1.60625000000E-08; -73.2722      
   1.61250000000E-08; -72.538       
   1.61875000000E-08; -71.9814      
   1.62500000000E-08; -71.6723      
   1.63125000000E-08; -71.6239      
   1.63750000000E-08; -71.8277      
   1.64375000000E-08; -72.2708      
   1.65000000000E-08; -72.9408      
   1.65625000000E-08; -73.8252      
   1.66250000000E-08; -74.9062      
   1.66875000000E-08; -76.1385      
   1.67500000000E-08; -77.4088      
   1.68125000000E-08; -78.5247      
   1.68750000000E-08; -79.2567      
   1.69375000000E-08; -79.4097      
   1.70000000000E-08; -78.9139      
   1.70625000000E-08; -77.8615      
   1.71250000000E-08; -76.4467      
   1.71875000000E-08; -74.8746      
   1.72500000000E-08; -73.3122      
   1.73125000000E-08; -71.881       
   1.73750000000E-08; -70.6491      
   1.74375000000E-08; -69.6387      
   1.75000000000E-08; -68.8518      
   1.75625000000E-08; -68.2845      
   1.76250000000E-08; -67.9324      
   1.76875000000E-08; -67.7914      
   1.77500000000E-08; -67.8571      
   1.78125000000E-08; -68.123       
   1.78750000000E-08; -68.5772      
   1.79375000000E-08; -69.1943      
   1.80000000000E-08; -69.925       
   1.80625000000E-08; -70.6894      
   1.81250000000E-08; -71.3859      
   1.81875000000E-08; -71.9096      
   1.82500000000E-08; -72.175       
   1.83125000000E-08; -72.1389      
   1.83750000000E-08; -71.8148      
   1.84375000000E-08; -71.2669      
   1.85000000000E-08; -70.5901      
   1.85625000000E-08; -69.8848      
   1.86250000000E-08; -69.2343      
   1.86875000000E-08; -68.6885      
   1.87500000000E-08; -68.2633      
   1.88125000000E-08; -67.9515      
   1.88750000000E-08; -67.7318      
   1.89375000000E-08; -67.576       
   1.90000000000E-08; -67.4546      
   1.90625000000E-08; -67.3411      
   1.91250000000E-08; -67.2161      
   1.91875000000E-08; -67.07        
   1.92500000000E-08; -66.9035      
   1.93125000000E-08; -66.7277      
   1.93750000000E-08; -66.5618      
   1.94375000000E-08; -66.4301      
   1.95000000000E-08; -66.3583      
   1.95625000000E-08; -66.3697      
   1.96250000000E-08; -66.4828      
   1.96875000000E-08; -66.7102      
   1.97500000000E-08; -67.0583      
   1.98125000000E-08; -67.5273      
   1.98750000000E-08; -68.1102      
   1.99375000000E-08; -68.7914      
   2.00000000000E-08; -69.5461      
   2.00625000000E-08; -70.3402      
   2.01250000000E-08; -71.1325      
   2.01875000000E-08; -71.8791      
   2.02500000000E-08; -72.5387      
   2.03125000000E-08; -73.0786      
   2.03750000000E-08; -73.4806      
   2.04375000000E-08; -73.7454      
   2.05000000000E-08; -73.8913      
   2.05625000000E-08; -73.9489      
   2.06250000000E-08; -73.9499      
   2.06875000000E-08; -73.9175      
   2.07500000000E-08; -73.8598      
   2.08125000000E-08; -73.7688      
   2.08750000000E-08; -73.6245      
   2.09375000000E-08; -73.4024      
   2.10000000000E-08; -73.0812      
   2.10625000000E-08; -72.6505      
   2.11250000000E-08; -72.1143      
   2.11875000000E-08; -71.4902      
   2.12500000000E-08; -70.8057      
   2.13125000000E-08; -70.0932      
   2.13750000000E-08; -69.3855      
   2.14375000000E-08; -68.712       
   2.15000000000E-08; -68.0963      
   2.15625000000E-08; -67.5546      
   2.16250000000E-08; -67.0954      
   2.16875000000E-08; -66.7197      
   2.17500000000E-08; -66.4226      
   2.18125000000E-08; -66.1943      
   2.18750000000E-08; -66.0216      
   2.19375000000E-08; -65.8904      
   2.20000000000E-08; -65.7873      
   2.20625000000E-08; -65.7021      
   2.21250000000E-08; -65.629       
   2.21875000000E-08; -65.568       
   2.22500000000E-08; -65.5247      
   2.23125000000E-08; -65.5101      
   2.23750000000E-08; -65.5393      
   2.24375000000E-08; -65.6299      
   2.25000000000E-08; -65.8007      
   2.25625000000E-08; -66.0702      
   2.26250000000E-08; -66.4553      
   2.26875000000E-08; -66.9714      
   2.27500000000E-08; -67.6311      
   2.28125000000E-08; -68.4428      
   2.28750000000E-08; -69.4064      
   2.29375000000E-08; -70.5032      
   2.30000000000E-08; -71.6832      
   2.30625000000E-08; -72.8615      
   2.31250000000E-08; -73.9313      
   2.31875000000E-08; -74.78        
   2.32500000000E-08; -75.3121      
   2.33125000000E-08; -75.4786      
   2.33750000000E-08; -75.2973      
   2.34375000000E-08; -74.8493      
   2.35000000000E-08; -74.2541      
   2.35625000000E-08; -73.6348      
   2.36250000000E-08; -73.0827      
   2.36875000000E-08; -72.6415      
   2.37500000000E-08; -72.3197      
   2.38125000000E-08; -72.1082      
   2.38750000000E-08; -71.9904      
   2.39375000000E-08; -71.947       
   2.40000000000E-08; -71.9583      
   2.40625000000E-08; -72.0053      
   2.41250000000E-08; -72.0721      
   2.41875000000E-08; -72.1467      
   2.42500000000E-08; -72.2223      
   2.43125000000E-08; -72.2979      
   2.43750000000E-08; -72.3767      
   2.44375000000E-08; -72.4638      
   2.45000000000E-08; -72.5622      
   2.45625000000E-08; -72.6694      
   2.46250000000E-08; -72.7737      
   2.46875000000E-08; -72.8548      
   2.47500000000E-08; -72.887       
   2.48125000000E-08; -72.846       
   2.48750000000E-08; -72.715       
   2.49375000000E-08; -72.4883      
   2.50000000000E-08; -72.1723      
   2.50625000000E-08; -71.7845      
   2.51250000000E-08; -71.3504      
   2.51875000000E-08; -70.9005      
   2.52500000000E-08; -70.466       
   2.53125000000E-08; -70.0741      
   2.53750000000E-08; -69.7461      
   2.54375000000E-08; -69.4963      
   2.55000000000E-08; -69.3346      
   2.55625000000E-08; -69.2681      
   2.56250000000E-08; -69.3032      
   2.56875000000E-08; -69.4474      
   2.57500000000E-08; -69.7093      
   2.58125000000E-08; -70.0993      
   2.58750000000E-08; -70.629       
   2.59375000000E-08; -71.3111      
   2.60000000000E-08; -72.1578      
   2.60625000000E-08; -73.1806      
   2.61250000000E-08; -74.3882      
   2.61875000000E-08; -75.7845      
   2.62500000000E-08; -77.3639      
   2.63125000000E-08; -79.0985      
   2.63750000000E-08; -80.9135      
   2.64375000000E-08; -82.6621      
   2.65000000000E-08; -84.1177      
   2.65625000000E-08; -85.0149      
   2.66250000000E-08; -85.1635      
   2.66875000000E-08; -84.5673      
   2.67500000000E-08; -83.412       
   2.68125000000E-08; -81.9387      
   2.68750000000E-08; -80.3448      
   2.69375000000E-08; -78.7582      
   2.70000000000E-08; -77.2439      
   2.70625000000E-08; -75.8243      
   2.71250000000E-08; -74.5017      
   2.71875000000E-08; -73.2733      
   2.72500000000E-08; -72.1375      
   2.73125000000E-08; -71.0956      
   2.73750000000E-08; -70.1524      
   2.74375000000E-08; -69.3146      
   2.75000000000E-08; -68.5907      
   2.75625000000E-08; -67.9897      
   2.76250000000E-08; -67.5205      
   2.76875000000E-08; -67.1915      
   2.77500000000E-08; -67.0103      
   2.78125000000E-08; -66.9833      
   2.78750000000E-08; -67.1162      
   2.79375000000E-08; -67.4134      
   2.80000000000E-08; -67.8778      
   2.80625000000E-08; -68.5111      
   2.81250000000E-08; -69.3129      
   2.81875000000E-08; -70.2808      
   2.82500000000E-08; -71.4106      
   2.83125000000E-08; -72.6961      
   2.83750000000E-08; -74.1303      
   2.84375000000E-08; -75.7054      
   2.85000000000E-08; -77.4117      
   2.85625000000E-08; -79.2298      
   2.86250000000E-08; -81.1073      
   2.86875000000E-08; -82.9261      
   2.87500000000E-08; -84.5051      
   2.88125000000E-08; -85.6304      
   2.88750000000E-08; -86.1084      
   2.89375000000E-08; -85.8489      
   2.90000000000E-08; -84.9207      
   2.90625000000E-08; -83.5168      
   2.91250000000E-08; -81.865       
   2.91875000000E-08; -80.1626      
   2.92500000000E-08; -78.5449      
   2.93125000000E-08; -77.0746      
   2.93750000000E-08; -75.7691      
   2.94375000000E-08; -74.6317      
   2.95000000000E-08; -73.6627      
   2.95625000000E-08; -72.8624      
   2.96250000000E-08; -72.2313      
   2.96875000000E-08; -71.7699      
   2.97500000000E-08; -71.4789      
   2.98125000000E-08; -71.3589      
   2.98750000000E-08; -71.4104      
   2.99375000000E-08; -71.6338      
   3.00000000000E-08; -72.0282      
   3.00625000000E-08; -72.5902      
   3.01250000000E-08; -73.3113      
   3.01875000000E-08; -74.1744      
   3.02500000000E-08; -75.15        
   3.03125000000E-08; -76.1964      
   3.03750000000E-08; -77.2631      
   3.04375000000E-08; -78.2978      
   3.05000000000E-08; -79.2526      
   3.05625000000E-08; -80.0925      
   3.06250000000E-08; -80.804       
   3.06875000000E-08; -81.4027      
   3.07500000000E-08; -81.934       
   3.08125000000E-08; -82.4645      
   3.08750000000E-08; -83.0636      
   3.09375000000E-08; -83.7826      
   3.10000000000E-08; -84.643       
   3.10625000000E-08; -85.6368      
   3.11250000000E-08; -86.7334      
   3.11875000000E-08; -87.8872      
   3.12500000000E-08; -89.0398      
   3.13125000000E-08; -90.124       
   3.13750000000E-08; -91.0748      
   3.14375000000E-08; -91.8559      
   3.15000000000E-08; -92.4923      
   3.15625000000E-08; -93.0885      
   3.16250000000E-08; -93.8104      
   3.16875000000E-08; -94.6976      
   3.17500000000E-08; -95.1738      
   3.18125000000E-08; -94.8357      
   3.18750000000E-08; -93.6219      
   3.19375000000E-08; -91.7569      
   3.20000000000E-08; -89.5652      
   3.20625000000E-08; -87.3022      
   3.21250000000E-08; -85.1164      
   3.21875000000E-08; -83.082       
   3.22500000000E-08; -81.2664      
   3.23125000000E-08; -79.7846      
   3.23750000000E-08; -78.6344      
   3.24375000000E-08; -77.7882      
   3.25000000000E-08; -77.2266      
   3.25625000000E-08; -76.938       
   3.26250000000E-08; -76.9186      
   3.26875000000E-08; -77.1723      
   3.27500000000E-08; -77.7127      
   3.28125000000E-08; -78.5669      
   3.28750000000E-08; -79.7835      
   3.29375000000E-08; -81.4243      
   3.30000000000E-08; -83.0954      
   3.30625000000E-08; -84.6766      
   3.31250000000E-08; -85.9845      
   3.31875000000E-08; -86.7957      
   3.32500000000E-08; -86.9334      
   3.33125000000E-08; -86.3726      
   3.33750000000E-08; -85.2558      
   3.34375000000E-08; -83.8003      
   3.35000000000E-08; -82.2276      
   3.35625000000E-08; -81.0573      
   3.36250000000E-08; -80.1608      
   3.36875000000E-08; -79.4556      
   3.37500000000E-08; -78.8839      
   3.38125000000E-08; -78.4014      
   3.38750000000E-08; -77.9726      
   3.39375000000E-08; -77.5687      
   3.40000000000E-08; -77.1672      
   3.40625000000E-08; -76.7528      
   3.41250000000E-08; -76.3178      
   3.41875000000E-08; -75.8628      
   3.42500000000E-08; -75.3954      
   3.43125000000E-08; -74.9291      
   3.43750000000E-08; -74.4807      
   3.44375000000E-08; -74.0688      
   3.45000000000E-08; -73.7113      
   3.45625000000E-08; -73.424       
   3.46250000000E-08; -73.2202      
   3.46875000000E-08; -73.1091      
   3.47500000000E-08; -73.0963      
   3.48125000000E-08; -73.1831      
   3.48750000000E-08; -73.3662      
   3.49375000000E-08; -73.6379      
   3.50000000000E-08; -73.9862      
   3.50625000000E-08; -74.3956      
   3.51250000000E-08; -74.8488      
   3.51875000000E-08; -75.329       
   3.52500000000E-08; -75.8223      
   3.53125000000E-08; -76.3212      
   3.53750000000E-08; -76.8259      
   3.54375000000E-08; -77.3469      
   3.55000000000E-08; -77.9042      
   3.55625000000E-08; -78.5254      
   3.56250000000E-08; -79.2425      
   3.56875000000E-08; -80.0848      
   3.57500000000E-08; -81.0679      
   3.58125000000E-08; -82.1761      
   3.58750000000E-08; -83.3576      
   3.59375000000E-08; -84.5496      
   3.60000000000E-08; -85.6988      
   3.60625000000E-08; -86.7604      
   3.61250000000E-08; -87.6909      
   3.61875000000E-08; -88.436       
   3.62500000000E-08; -88.9142      
   3.63125000000E-08; -89.0298      
   3.63750000000E-08; -88.76        
   3.64375000000E-08; -88.1842      
   3.65000000000E-08; -87.3845      
   3.65625000000E-08; -86.4016      
   3.66250000000E-08; -85.2627      
   3.66875000000E-08; -84.0061      
   3.67500000000E-08; -82.6899      
   3.68125000000E-08; -81.3897      
   3.68750000000E-08; -80.1836      
   3.69375000000E-08; -79.127       
   3.70000000000E-08; -78.2443      
   3.70625000000E-08; -77.5428      
   3.71250000000E-08; -77.0245      
   3.71875000000E-08; -76.6925      
   3.72500000000E-08; -76.5521      
   3.73125000000E-08; -76.6117      
   3.73750000000E-08; -76.8824      
   3.74375000000E-08; -77.3776      
   3.75000000000E-08; -78.1133      
   3.75625000000E-08; -79.1066      
   3.76250000000E-08; -80.3701      
   3.76875000000E-08; -81.8944      
   3.77500000000E-08; -83.6283      
   3.78125000000E-08; -85.5132      
   3.78750000000E-08; -87.499       
   3.79375000000E-08; -89.5192      
   3.80000000000E-08; -91.4709      
   3.80625000000E-08; -93.2086      
   3.81250000000E-08; -94.5704      
   3.81875000000E-08; -93.959       
   3.82500000000E-08; -94.7731      
   3.83125000000E-08; -95.4759      
